#tail	head
ZNF668	MDM2
PRKAA1	KAT2B
PRKAA1	MCM2
PRKAA1	DAO
PRKAA1	TNF
PRKAA1	EZH2
PRKAA1	DYNLL2
FGF8	CREBBP
FGF8	HSDL2
FGF8	NCOA1
FGF8	IGHV3-30
FGF8	GNG12
FGF8	SIN3A
FGF8	CHD9
FGF8	EZH2
FGF8	PIK3CB
DDX27	WDR46
ADCY6	GNG12
SLC8A1	GRIK4
MYC	CATSPER2
MYC	HSD17B7
MYC	LRFN4
MYC	PDHA1
MYC	SIN3A
MYC	TRIM3
MYC	TBP
MYC	VAMP1
MYC	CGN
MYC	TNRC6B
MYC	NEUROD6
MYC	MARCKSL1
MYC	HIST1H2AC
MYC	EXOC1
SPTBN1	CGN
SPTBN1	SH3KBP1
SPTBN1	LSM11
SPTBN1	NUFIP2
SPTBN1	CPNE1
SPTBN1	CFL1
SPTBN1	OGA
SPTBN1	FMR1
SPTBN1	CFTR
SPTBN1	ZNF598
HSD17B7	N4BP3
HSD17B7	NCOA1
HSD17B7	SIN3A
HSD17B7	TNF
GNG12	PIK3CB
GNG12	ATP1B1
CSF3	CREBBP
CSF3	DNAJB11
CSF3	DRD5
CSF3	TNF
CSF3	SEPT2
CSF3	FLOT2
FGF22	DRD5
FGF22	SH3KBP1
FGF22	IGHV3-30
FGF22	PIK3CB
GRIK4	SLC24A2
GRIK4	SLC8A2
GRIK4	PRKCA
PIK3CB	PCBP1
PIK3CB	PRKCA
PIK3CB	NF1
PLA2G12A	ACAT1
PLA2G12A	CYP2C19
PLA2G12A	SAT2
PLA2G12A	ACSL4
ATG101	WASHC3
CHD9	CPT2
CHD9	TNF
CHD9	BRCA1
VAMP1	CCDC155
ITGA2	ITGAE
ITGA2	AP1M1
ITGA2	SHC2
SGF29	STON2
SGF29	AP2B1
SGF29	JUP
SGF29	CPNE1
SGF29	SH3KBP1
SGF29	NPM1
SGF29	TMPO
SGF29	FLOT2
SGF29	ACAT1
SGF29	ACTN4
EZH2	NOP2
EZH2	CYP19A1
EZH2	BRCA1
EZH2	DNAJB11
EZH2	CNBP
EZH2	SEPT2
ACO1	NF1
ACO1	SLC25A19
ACO1	ALDH7A1
CFTR	TNRC6B
CFTR	VAPA
CFTR	LGALS3BP
CFTR	PRKCA
CFTR	ACSL4
CFTR	MCM2
CFTR	FLOT2
ARNTL	NPM1
TMPO	ZNF598
PRMT5	STON2
PRMT5	RELA
PRMT5	SIN3A
PRMT5	SEPT2
FXYD6	GRIN2D
FXYD6	ATP1B1
FXYD6	SLC24A2
PRKCA	TNF
PRKCA	CFL1
PRKCA	DAO
PRKCA	SHC2
PRKCA	BLVRA
NF1	PDHA1
NF1	OR5I1
NF1	ALAS1
NF1	BRCA1
GRIN2D	RELA
HMMR	DYNLL1
PHKA1	ATP11C
PHKA1	EYA4
DDX42	ACSL4
DDX42	SEPT7
ACTG2	JUP
ACTG2	CFL1
ACTG2	P2RX1
DDX19B	ACSL4
DYNLL1	TGOLN2
DYNLL1	KIF18A
DYNLL1	GABARAPL1
DYNLL1	OGA
CREBBP	PRLR
CREBBP	JUP
EYA4	INSRR
EYA4	PYGB
HSDL2	PDHA1
HSDL2	SEPT7
HSDL2	SAFB
ACAT1	SAFB
ACAT1	STON2
ACAT1	SH3KBP1
ACAT1	SAT2
ACAT1	CPT2
SEPT2	LSM11
SEPT2	JUP
SEPT2	CPNE1
SEPT2	DNAJB11
SEPT2	FMR1
SEPT2	STON2
SEPT2	MARCKSL1
GPC3	SEPT7
GPC3	SH3KBP1
GPC3	KAT2B
DNAJB11	SEPT7
DNAJB11	SAFB
DNAJB11	STON2
DNAJB11	SH3KBP1
DNAJB11	OGA
DNAJB11	GSTP1
COX6B1	NDUFA9
PDHA1	UROD
PDHA1	NAGS
PDHA1	DCXR
PDHA1	ACTN4
PDHA1	STON2
CUL7	AMPD2
CUL7	NPM1
CUL7	JUP
MARCKSL1	SH3KBP1
MARCKSL1	OGA
GRB10	IRS1
INSRR	IRS1
CPT2	SPR
CPT2	ALAS1
DYNLL2	DLGAP1
DYNLL2	SPC24
DYNLL2	MCM2
SAFB	SEPT7
SAFB	SH3KBP1
SAFB	NUFIP2
JUP	SLC24A2
JUP	STON2
ZMYND19	CDK5RAP1
BRCA1	TBP
BRCA1	HIST1H2AC
BRCA1	PCBP1
BRCA1	PSMD1
BRCA1	NPM1
BRCA1	TNF
BRCA1	RPL5
BRCA1	RELA
RPL5	MCM2
LGALS3BP	OGA
LGALS3BP	VAPA
LGALS3BP	FMR1
LGALS3BP	KIF7
NFATC2	TRPM6
CYB5D1	COX7A2L
CPNE4	NOP2
RELA	ACTN4
RELA	DAO
RELA	NCOA1
RELA	STON2
RELA	SIN3A
RELA	CHFR
RELA	ATP1B1
AGO3	ECH1
CPNE1	TRPM6
CPNE1	SEPT7
ZNF598	HIST2H4A
ZNF598	SEPT9
ZNF598	VAPA
ZNF598	PSMD1
ZNF598	HACD3
PSMD1	PPP2R5C
CYP2C19	CYP17A1
CYP2C19	SPR
IL1R1	TNF
IL1R1	DCXR
IL1R1	DAO
ABAT	PCBP1
ABAT	NAGS
CATSPER2	PYGB
CATSPER2	SLC24A2
TFF2	TNF
NAGS	ALAS1
KAT2B	MCM2
KAT2B	GTF2F1
KAT2B	CYP19A1
PPP2R5C	MCM2
PPP2R5C	OGA
PPP2R5C	SPC24
OXCT1	UROD
OXCT1	ALAS1
TNRC6B	PCBP1
TNRC6B	TNF
TNFRSF21	TNF
ALAS1	SNRPB2
ALAS1	NCOA1
PYGB	NPM1
PYGB	MCM2
PYGB	ATP1B1
PYGB	ATP11C
PYGB	OGA
CYP17A1	SPR
CYP17A1	CYP19A1
STON2	OCLN
STON2	LSM11
STON2	NPM1
STON2	AP2B1
VAPA	AP2B1
VAPA	MCM2
ATP1B1	SLC24A2
MPG	NPM1
MPG	NCOA1
TNF	NPM1
TNF	DAO
TNF	CFL1
TNF	HIST2H4A
SIN3A	CYP19A1
ITGAE	CHFR
KIF7	PIBF1
SH3KBP1	NPM1
SH3KBP1	FCHO1
SH3KBP1	PCBP1
SH3KBP1	CGN
MUC1	TBP
MUC1	TMEM97
NUFIP2	SEPT7
NUFIP2	PCBP1
PCBP1	RRP15
UROD	FMR1
GSTP1	SAT2
GSTP1	AP2B1
COX7A2L	ALDH7A1
DCXR	FMR1
CCT5	MCM2
AP2B1	AP1M1
SLC24A2	SLC8A2
SLC24A2	FOXD1
SLC24A2	P2RX1
ACTN4	NPM1
OGA	RRP15
OGA	CFL1
OGA	HIST2H4A
GABARAPL1	ECH1
FMR1	SEPT7
MCM2	HIST2H4A
NPM1	CFL1
