#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
P37023	P01137	1	TGF_beta_Receptor	7	physical	ACVRL1	TGFB1
Q9UJX3	Q9UJX5	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC4
Q9UJX3	Q9UJX4	1	TGF_beta_Receptor	7	physical	ANAPC7	ANAPC5
Q9UJX3	Q13042	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC16
Q9UJX3	Q9UJX2	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC23
Q9UJX3	P30260	1	TGF_beta_Receptor	7	physical	ANAPC7	CDC27
Q9UJX3	Q9UM11	1	TGF_beta_Receptor	7	physical	ANAPC7	FZR1
P63010	P36897	1	TGF_beta_Receptor	7	physical	AP2B1	TGFBR1
P63010	P37173	1	TGF_beta_Receptor	7	physical	AP2B1	TGFBR2
P10275	P84022	1	TGF_beta_Receptor	7	physical	AR	SMAD3
P32121	Q03167	1	TGF_beta_Receptor	7	physical	ARRB2	TGFBR3
P15336	P84022	1	TGF_beta_Receptor	7	physical	ATF2	SMAD3
P15336	Q13485	1	TGF_beta_Receptor	7	physical	ATF2	SMAD4
P18847	P84022	1	TGF_beta_Receptor	7	physical	ATF3	SMAD3
O15169	Q15796	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD2
O15169	P84022	1	TGF_beta_Receptor	7	physical	AXIN1	SMAD3
O15169	P36897	1	TGF_beta_Receptor	7	physical	AXIN1	TGFBR1
Q9Y2T1	P84022	1	TGF_beta_Receptor	7	physical	AXIN2	SMAD3
P56945	P46108	1	TGF_beta_Receptor	7	physical	BCAR1	CRK
P56945	P84022	1	TGF_beta_Receptor	7	physical	BCAR1	SMAD3
P56945	TGFBR	1	TGF_beta_Receptor	7	physical	BCAR1	TGFBR
P38398	P84022	1	TGF_beta_Receptor	7	physical	BRCA1	SMAD3
Q9Y297	P84022	1	TGF_beta_Receptor	7	Ubiquitination	BTRC	SMAD3
Q9Y297	P84022	1	TGF_beta_Receptor	7	physical	BTRC	SMAD3
Q9Y297	Q13485	1	TGF_beta_Receptor	7	Ubiquitination	BTRC	SMAD4
Q9Y297	Q13485	1	TGF_beta_Receptor	7	physical	BTRC	SMAD4
Q9UQM7	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2A	SMAD2
Q13554	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2B	SMAD2
Q13557	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2D	SMAD2
Q13555	Q15796	1	TGF_beta_Receptor	7	Phosphorylation	CAMK2G	SMAD2
Q03135	P61586	1	TGF_beta_Receptor	7	physical	CAV1	RHOA
Q03135	P36897	1	TGF_beta_Receptor	7	physical	CAV1	TGFBR1
O95067	P28340	1	TGF_beta_Receptor	7	physical	CCNB2	POLD1
O95067	P37173	1	TGF_beta_Receptor	7	physical	CCNB2	TGFBR2
P24385	P24941	1	TGF_beta_Receptor	7	physical	CCND1	CDK2
P24385	P38936	1	TGF_beta_Receptor	7	physical	CCND1	CDKN1A
P24385	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CCND1	RB1
P24864	P24941	1	TGF_beta_Receptor	7	physical	CCNE1	CDK2
P24864	P28749	1	TGF_beta_Receptor	7	physical	CCNE1	RBL1
P16070	P36897	1	TGF_beta_Receptor	7	physical	CD44	TGFBR1
Q13042	Q9H1A4	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC1
Q13042	Q9UM13	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC10
Q13042	Q9UJX6	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC2
Q13042	Q9UJX5	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC4
Q13042	Q9UJX4	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC5
Q13042	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC16	ANAPC7
Q13042	Q9UJX2	1	TGF_beta_Receptor	7	physical	CDC16	CDC23
Q13042	P30260	1	TGF_beta_Receptor	7	physical	CDC16	CDC27
Q13042	Q9UM11	1	TGF_beta_Receptor	7	physical	CDC16	FZR1
Q13042	P12757	1	TGF_beta_Receptor	7	physical	CDC16	SKIL
Q13042	Q15796	1	TGF_beta_Receptor	7	physical	CDC16	SMAD2
Q13042	P84022	1	TGF_beta_Receptor	7	physical	CDC16	SMAD3
Q9UJX2	Q9H1A4	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC1
Q9UJX2	Q9UM13	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC10
Q9UJX2	Q9UJX6	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC2
Q9UJX2	Q9UJX5	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC4
Q9UJX2	Q9UJX4	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC5
Q9UJX2	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC23	ANAPC7
Q9UJX2	Q13042	1	TGF_beta_Receptor	7	physical	CDC23	CDC16
Q9UJX2	P30260	1	TGF_beta_Receptor	7	physical	CDC23	CDC27
Q9UJX2	Q9UM11	1	TGF_beta_Receptor	7	physical	CDC23	FZR1
P30304	Q13464	1	TGF_beta_Receptor	7	physical	CDC25A	ROCK1
P30260	Q9H1A4	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC1
P30260	Q9UM13	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC10
P30260	Q9UJX6	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC2
P30260	Q9UJX5	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC4
P30260	Q9UJX4	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC5
P30260	Q9UJX3	1	TGF_beta_Receptor	7	physical	CDC27	ANAPC7
P30260	Q13042	1	TGF_beta_Receptor	7	physical	CDC27	CDC16
P30260	Q9UJX2	1	TGF_beta_Receptor	7	physical	CDC27	CDC23
P30260	Q9UM11	1	TGF_beta_Receptor	7	physical	CDC27	FZR1
P30260	P12757	1	TGF_beta_Receptor	7	physical	CDC27	SKIL
P30260	Q15796	1	TGF_beta_Receptor	7	physical	CDC27	SMAD2
P30260	P84022	1	TGF_beta_Receptor	7	physical	CDC27	SMAD3
P24941	P24385	1	TGF_beta_Receptor	7	physical	CDK2	CCND1
P24941	P24864	1	TGF_beta_Receptor	7	physical	CDK2	CCNE1
P24941	P38936	1	TGF_beta_Receptor	7	physical	CDK2	CDKN1A
P24941	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK2	RB1
P24941	P06400	1	TGF_beta_Receptor	7	physical	CDK2	RB1
P24941	P28749	1	TGF_beta_Receptor	7	physical	CDK2	RBL1
P11802	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK4	RB1
Q00534	P06400	1	TGF_beta_Receptor	7	Phosphorylation	CDK6	RB1
P38936	P24385	1	TGF_beta_Receptor	7	physical	CDKN1A	CCND1
P38936	P24941	1	TGF_beta_Receptor	7	physical	CDKN1A	CDK2
Q99966	Q92793	1	TGF_beta_Receptor	7	physical	CITED1	CREBBP
Q99966	Q09472	1	TGF_beta_Receptor	7	physical	CITED1	EP300
Q99966	P11142	1	TGF_beta_Receptor	7	physical	CITED1	HSPA8
Q99966	Q13485	1	TGF_beta_Receptor	7	physical	CITED1	SMAD4
Q92905	Q13485	1	TGF_beta_Receptor	7	physical	COPS5	SMAD4
Q92905	Q13485	1	TGF_beta_Receptor	7	Ubiquitination	COPS5	SMAD4
Q92905	O15105	1	TGF_beta_Receptor	7	physical	COPS5	SMAD7
Q92793	Q99966	1	TGF_beta_Receptor	7	physical	CREBBP	CITED1
Q92793	Q15796	1	TGF_beta_Receptor	7	Acetylation	CREBBP	SMAD2
Q92793	P84022	1	TGF_beta_Receptor	7	Acetylation	CREBBP	SMAD3
Q92793	P84022	1	TGF_beta_Receptor	7	physical	CREBBP	SMAD3
Q92793	Q13485	1	TGF_beta_Receptor	7	physical	CREBBP	SMAD4
Q92793	Q8TAD8	1	TGF_beta_Receptor	7	physical	CREBBP	SNIP1
P46108	P56945	1	TGF_beta_Receptor	7	physical	CRK	BCAR1
P78368	P84022	1	TGF_beta_Receptor	7	Phosphorylation	CSNK1G2	SMAD3
P49711	P84022	1	TGF_beta_Receptor	7	physical	CTCF	SMAD3
P49711	Q13485	1	TGF_beta_Receptor	7	physical	CTCF	SMAD4
P35222	Q9UJU2	1	TGF_beta_Receptor	7	physical	CTNNB1	LEF1
P35222	P42336	1	TGF_beta_Receptor	7	physical	CTNNB1	PIK3CA
P35222	P84022	1	TGF_beta_Receptor	7	physical	CTNNB1	SMAD3
P35222	Q13485	1	TGF_beta_Receptor	7	physical	CTNNB1	SMAD4
P35222	O15105	1	TGF_beta_Receptor	7	physical	CTNNB1	SMAD7
P35222	P37173	1	TGF_beta_Receptor	7	physical	CTNNB1	TGFBR2
Q13616	P84022	1	TGF_beta_Receptor	7	Ubiquitination	CUL1	SMAD3
Q13616	P84022	1	TGF_beta_Receptor	7	physical	CUL1	SMAD3
P98082	O43318	1	TGF_beta_Receptor	7	physical	DAB2	MAP3K7
P98082	Q15796	1	TGF_beta_Receptor	7	physical	DAB2	SMAD2
P98082	P84022	1	TGF_beta_Receptor	7	physical	DAB2	SMAD3
P98082	P36897	1	TGF_beta_Receptor	7	physical	DAB2	TGFBR1
P98082	P37173	1	TGF_beta_Receptor	7	physical	DAB2	TGFBR2
Q9UER7	P37173	1	TGF_beta_Receptor	7	physical	DAXX	TGFBR2
Q9NPI6	Q13485	1	TGF_beta_Receptor	7	physical	DCP1A	SMAD4
P17844	P84022	1	TGF_beta_Receptor	7	physical	DDX5	SMAD3
O14640	Q15796	1	TGF_beta_Receptor	7	physical	DVL1	SMAD2
O14640	P84022	1	TGF_beta_Receptor	7	physical	DVL1	SMAD3
O14640	Q13485	1	TGF_beta_Receptor	7	physical	DVL1	SMAD4
O14640	O15105	1	TGF_beta_Receptor	7	physical	DVL1	SMAD7
O14576	Q9NP97	1	TGF_beta_Receptor	7	physical	DYNC1I1	DYNLRB1
Q9NP97	O14576	1	TGF_beta_Receptor	7	physical	DYNLRB1	DYNC1I1
Q9NP97	Q15796	1	TGF_beta_Receptor	7	physical	DYNLRB1	SMAD2
Q9NP97	P37173	1	TGF_beta_Receptor	7	physical	DYNLRB1	TGFBR2
Q8TF09	P84022	1	TGF_beta_Receptor	7	physical	DYNLRB2	SMAD3
Q8TF09	P37173	1	TGF_beta_Receptor	7	physical	DYNLRB2	TGFBR2
Q16254	Q15329	1	TGF_beta_Receptor	7	physical	E2F4	E2F5
Q16254	P06400	1	TGF_beta_Receptor	7	physical	E2F4	RB1
Q16254	P28749	1	TGF_beta_Receptor	7	physical	E2F4	RBL1
Q16254	Q08999	1	TGF_beta_Receptor	7	physical	E2F4	RBL2
Q16254	P84022	1	TGF_beta_Receptor	7	physical	E2F4	SMAD3
Q16254	Q13485	1	TGF_beta_Receptor	7	physical	E2F4	SMAD4
Q16254	Q14186	1	TGF_beta_Receptor	7	physical	E2F4	TFDP1
Q16254	Q14188	1	TGF_beta_Receptor	7	physical	E2F4	TFDP2
Q15329	Q16254	1	TGF_beta_Receptor	7	physical	E2F5	E2F4
Q15329	P28749	1	TGF_beta_Receptor	7	physical	E2F5	RBL1
Q15329	Q08999	1	TGF_beta_Receptor	7	physical	E2F5	RBL2
Q15329	P84022	1	TGF_beta_Receptor	7	physical	E2F5	SMAD3
Q15329	Q13485	1	TGF_beta_Receptor	7	physical	E2F5	SMAD4
Q15329	Q14186	1	TGF_beta_Receptor	7	physical	E2F5	TFDP1
Q8N6I1	Q15796	1	TGF_beta_Receptor	7	physical	EID2	SMAD2
Q8N6I1	P84022	1	TGF_beta_Receptor	7	physical	EID2	SMAD3
Q8N6I1	Q13485	1	TGF_beta_Receptor	7	physical	EID2	SMAD4
Q13347	P36897	1	TGF_beta_Receptor	7	physical	EIF3I	TGFBR1
Q13347	P37173	1	TGF_beta_Receptor	7	physical	EIF3I	TGFBR2
P17813	P36897	1	TGF_beta_Receptor	7	physical	ENG	TGFBR1
P17813	P37173	1	TGF_beta_Receptor	7	physical	ENG	TGFBR2
Q09472	Q99966	1	TGF_beta_Receptor	7	physical	EP300	CITED1
Q09472	Q15788	1	TGF_beta_Receptor	7	physical	EP300	NCOA1
Q09472	P12755	1	TGF_beta_Receptor	7	physical	EP300	SKI
Q09472	P12757	1	TGF_beta_Receptor	7	physical	EP300	SKIL
Q09472	Q15796	1	TGF_beta_Receptor	7	Acetylation	EP300	SMAD2
Q09472	Q15796	1	TGF_beta_Receptor	7	physical	EP300	SMAD2
Q09472	P84022	1	TGF_beta_Receptor	7	physical	EP300	SMAD3
Q09472	P84022	1	TGF_beta_Receptor	7	Acetylation	EP300	SMAD3
Q09472	Q13485	1	TGF_beta_Receptor	7	physical	EP300	SMAD4
Q09472	O15105	1	TGF_beta_Receptor	7	physical	EP300	SMAD7
Q09472	Q8TAD8	1	TGF_beta_Receptor	7	physical	EP300	SNIP1
Q96RT1	Q15796	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD2
Q96RT1	P84022	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD3
Q96RT1	Q13485	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD4
Q96RT1	O15105	1	TGF_beta_Receptor	7	physical	ERBB2IP	SMAD7
P03372	Q15796	1	TGF_beta_Receptor	7	physical	ESR1	SMAD2
P03372	P84022	1	TGF_beta_Receptor	7	physical	ESR1	SMAD3
P03372	Q13485	1	TGF_beta_Receptor	7	physical	ESR1	SMAD4
P14921	P84022	1	TGF_beta_Receptor	7	physical	ETS1	SMAD3
P14921	P08047	1	TGF_beta_Receptor	7	physical	ETS1	SP1
Q01844	Q9Y3F4	1	TGF_beta_Receptor	7	physical	EWSR1	STRAP
P62942	P36897	1	TGF_beta_Receptor	7	physical	FKBP1A	TGFBR1
P49354	P36897	1	TGF_beta_Receptor	7	physical	FNTA	TGFBR1
P01100	P05412	1	TGF_beta_Receptor	7	physical	FOS	JUN
P01100	P84022	1	TGF_beta_Receptor	7	physical	FOS	SMAD3
P01100	Q13485	1	TGF_beta_Receptor	7	physical	FOS	SMAD4
P53539	P17535	1	TGF_beta_Receptor	7	physical	FOSB	JUND
P53539	P84022	1	TGF_beta_Receptor	7	physical	FOSB	SMAD3
P53539	Q13485	1	TGF_beta_Receptor	7	physical	FOSB	SMAD4
P55316	O75593	1	TGF_beta_Receptor	7	physical	FOXG1	FOXH1
O75593	P55316	1	TGF_beta_Receptor	7	physical	FOXH1	FOXG1
O75593	Q15796	1	TGF_beta_Receptor	7	physical	FOXH1	SMAD2
O75593	P84022	1	TGF_beta_Receptor	7	physical	FOXH1	SMAD3
O75593	Q13485	1	TGF_beta_Receptor	7	physical	FOXH1	SMAD4
O75593	Q15583	1	TGF_beta_Receptor	7	physical	FOXH1	TGIF1
Q12778	P84022	1	TGF_beta_Receptor	7	physical	FOXO1	SMAD3
Q12778	Q13485	1	TGF_beta_Receptor	7	physical	FOXO1	SMAD4
O43524	Q15796	1	TGF_beta_Receptor	7	physical	FOXO3	SMAD2
O43524	P84022	1	TGF_beta_Receptor	7	physical	FOXO3	SMAD3
O43524	Q13485	1	TGF_beta_Receptor	7	physical	FOXO3	SMAD4
P98177	P84022	1	TGF_beta_Receptor	7	physical	FOXO4	SMAD3
P98177	Q13485	1	TGF_beta_Receptor	7	physical	FOXO4	SMAD4
Q9UM11	Q9H1A4	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC1
Q9UM11	Q9UM13	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC10
Q9UM11	Q9UJX6	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC2
Q9UM11	Q9UJX5	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC4
Q9UM11	Q9UJX4	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC5
Q9UM11	Q9UJX3	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC7
Q9UM11	Q13042	1	TGF_beta_Receptor	7	physical	FZR1	CDC16
Q9UM11	Q9UJX2	1	TGF_beta_Receptor	7	physical	FZR1	CDC23
Q9UM11	P30260	1	TGF_beta_Receptor	7	physical	FZR1	CDC27
Q9UM11	P12757	1	TGF_beta_Receptor	7	physical	FZR1	SKIL
O14908	Q03167	1	TGF_beta_Receptor	7	physical	GIPC1	TGFBR3
P62993	P29353	1	TGF_beta_Receptor	7	physical	GRB2	SHC1
Q13547	Q08999	1	TGF_beta_Receptor	7	physical	HDAC1	RBL2
Q13547	Q15796	1	TGF_beta_Receptor	7	physical	HDAC1	SMAD2
Q13547	Q13485	1	TGF_beta_Receptor	7	physical	HDAC1	SMAD4
Q13547	Q15583	1	TGF_beta_Receptor	7	physical	HDAC1	TGIF1
O14964	Q15796	1	TGF_beta_Receptor	7	physical	HGS	SMAD2
O14964	P84022	1	TGF_beta_Receptor	7	physical	HGS	SMAD3
O14964	O95405	1	TGF_beta_Receptor	7	physical	HGS	ZFYVE9
P41235	P84022	1	TGF_beta_Receptor	7	physical	HNF4A	SMAD3
P41235	Q13485	1	TGF_beta_Receptor	7	physical	HNF4A	SMAD4
P31269	Q13485	1	TGF_beta_Receptor	7	physical	HOXA9	SMAD4
P11142	Q99966	1	TGF_beta_Receptor	7	physical	HSPA8	CITED1
Q9H160	P12757	1	TGF_beta_Receptor	7	physical	ING2	SKIL
Q9H160	Q15796	1	TGF_beta_Receptor	7	physical	ING2	SMAD2
Q8IU81	Q15583	1	TGF_beta_Receptor	7	physical	IRF2BP1	TGIF1
Q96J02	Q13118	1	TGF_beta_Receptor	7	Ubiquitination	ITCH	KLF10
Q96J02	O15105	1	TGF_beta_Receptor	7	physical	ITCH	SMAD7
Q96J02	O15105	1	TGF_beta_Receptor	7	Ubiquitination	ITCH	SMAD7
P05556	P37173	1	TGF_beta_Receptor	7	physical	ITGB1	TGFBR2
P05106	P37173	1	TGF_beta_Receptor	7	physical	ITGB3	TGFBR2
P05412	P01100	1	TGF_beta_Receptor	7	physical	JUN	FOS
P05412	Q15796	1	TGF_beta_Receptor	7	physical	JUN	SMAD2
P05412	P84022	1	TGF_beta_Receptor	7	physical	JUN	SMAD3
P05412	Q13485	1	TGF_beta_Receptor	7	physical	JUN	SMAD4
P05412	Q15583	1	TGF_beta_Receptor	7	physical	JUN	TGIF1
P17275	P84022	1	TGF_beta_Receptor	7	physical	JUNB	SMAD3
P17275	Q13485	1	TGF_beta_Receptor	7	physical	JUNB	SMAD4
P17535	P53539	1	TGF_beta_Receptor	7	physical	JUND	FOSB
P17535	P84022	1	TGF_beta_Receptor	7	physical	JUND	SMAD3
P17535	Q13485	1	TGF_beta_Receptor	7	physical	JUND	SMAD4
Q92831	Q15796	1	TGF_beta_Receptor	7	physical	KAT2B	SMAD2
Q92831	Q15796	1	TGF_beta_Receptor	7	Acetylation	KAT2B	SMAD2
Q92831	P84022	1	TGF_beta_Receptor	7	physical	KAT2B	SMAD3
Q14974	P84022	1	TGF_beta_Receptor	7	physical	KPNB1	SMAD3
Q9UJU2	P35222	1	TGF_beta_Receptor	7	physical	LEF1	CTNNB1
Q9UJU2	Q15796	1	TGF_beta_Receptor	7	physical	LEF1	SMAD2
Q9UJU2	P84022	1	TGF_beta_Receptor	7	physical	LEF1	SMAD3
Q9UJU2	Q13485	1	TGF_beta_Receptor	7	physical	LEF1	SMAD4
Q9UJU2	O15105	1	TGF_beta_Receptor	7	physical	LEF1	SMAD7
P46734	Q16539	1	TGF_beta_Receptor	7	Phosphorylation	MAP2K3	MAPK14
P46734	O15105	1	TGF_beta_Receptor	7	physical	MAP2K3	SMAD7
P52564	Q16539	1	TGF_beta_Receptor	7	Phosphorylation	MAP2K6	MAPK14
P52564	O15105	1	TGF_beta_Receptor	7	physical	MAP2K6	SMAD7
O43318	P98082	1	TGF_beta_Receptor	7	physical	MAP3K7	DAB2
O43318	Q92918	1	TGF_beta_Receptor	7	physical	MAP3K7	MAP4K1
O43318	Q16539	1	TGF_beta_Receptor	7	Phosphorylation	MAP3K7	MAPK14
O43318	P67775	1	TGF_beta_Receptor	7	physical	MAP3K7	PPP2CA
O43318	O15105	1	TGF_beta_Receptor	7	physical	MAP3K7	SMAD7
O43318	Q15750	1	TGF_beta_Receptor	7	physical	MAP3K7	TAB1
O43318	Q9Y4K3	1	TGF_beta_Receptor	7	physical	MAP3K7	TRAF6
Q92918	O43318	1	TGF_beta_Receptor	7	physical	MAP4K1	MAP3K7
Q16539	P15336	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	ATF2
Q16539	Q06413	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	MEF2C
Q16539	O75582	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	RPS6KA5
Q16539	P84022	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	SMAD3
Q16539	O15105	1	TGF_beta_Receptor	7	physical	MAPK14	SMAD7
P45983	P05412	1	TGF_beta_Receptor	7	Phosphorylation	MAPK8	JUN
P45983	P84022	1	TGF_beta_Receptor	7	Phosphorylation	MAPK8	SMAD3
Q96RN5	Q9GZV5	1	TGF_beta_Receptor	7	physical	MED15	WWTR1
Q02078	Q15796	1	TGF_beta_Receptor	7	physical	MEF2A	SMAD2
Q06413	Q15796	1	TGF_beta_Receptor	7	physical	MEF2C	SMAD2
P01106	Q15796	1	TGF_beta_Receptor	7	physical	MYC	SMAD2
P01106	P84022	1	TGF_beta_Receptor	7	physical	MYC	SMAD3
Q15788	Q09472	1	TGF_beta_Receptor	7	physical	NCOA1	EP300
Q96PU5	P12757	1	TGF_beta_Receptor	7	physical	NEDD4L	SKIL
Q96PU5	Q15796	1	TGF_beta_Receptor	7	physical	NEDD4L	SMAD2
Q96PU5	Q15796	1	TGF_beta_Receptor	7	Ubiquitination	NEDD4L	SMAD2
Q96PU5	P84022	1	TGF_beta_Receptor	7	physical	NEDD4L	SMAD3
Q96PU5	O15105	1	TGF_beta_Receptor	7	physical	NEDD4L	SMAD7
Q96PU5	P36897	1	TGF_beta_Receptor	7	Ubiquitination	NEDD4L	TGFBR1
P23511	P25208	1	TGF_beta_Receptor	7	physical	NFYA	NFYB
P23511	Q13952	1	TGF_beta_Receptor	7	physical	NFYA	NFYC
P25208	P23511	1	TGF_beta_Receptor	7	physical	NFYB	NFYA
P25208	Q13952	1	TGF_beta_Receptor	7	physical	NFYB	NFYC
Q13952	P23511	1	TGF_beta_Receptor	7	physical	NFYC	NFYA
Q13952	P25208	1	TGF_beta_Receptor	7	physical	NFYC	NFYB
Q13952	Q15796	1	TGF_beta_Receptor	7	physical	NFYC	SMAD2
Q13952	P84022	1	TGF_beta_Receptor	7	physical	NFYC	SMAD3
P15531	Q9Y3F4	1	TGF_beta_Receptor	7	physical	NME1	STRAP
P49790	Q15796	1	TGF_beta_Receptor	7	physical	NUP153	SMAD2
P49790	P84022	1	TGF_beta_Receptor	7	physical	NUP153	SMAD3
P35658	Q15796	1	TGF_beta_Receptor	7	physical	NUP214	SMAD2
