#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
O96019	Q01201	1	TNFalpha	9	physical	ACTL6A	RELB
Q9Y297	P01375	1	TNFalpha	9	physical	BTRC	TNF
Q9Y297	P19438	1	TNFalpha	9	physical	BTRC	TNFRSF1A
Q9Y297	P20333	1	TNFalpha	9	physical	BTRC	TNFRSF1B
Q9Y297	Q15628	1	TNFalpha	9	physical	BTRC	TRADD
Q9Y297	Q12933	1	TNFalpha	9	physical	BTRC	TRAF2
Q92851	Q13490	1	TNFalpha	9	physical	CASP10	BIRC2
Q92851	Q14790	1	TNFalpha	9	physical	CASP10	CASP8
Q92851	O15519	1	TNFalpha	9	physical	CASP10	CFLAR
Q92851	Q13158	1	TNFalpha	9	physical	CASP10	FADD
Q92851	Q13546	1	TNFalpha	9	physical	CASP10	RIPK1
Q92851	Q15628	1	TNFalpha	9	physical	CASP10	TRADD
Q92851	Q13077	1	TNFalpha	9	physical	CASP10	TRAF1
Q92851	Q12933	1	TNFalpha	9	physical	CASP10	TRAF2
P42575	P78560	1	TNFalpha	9	physical	CASP2	CRADD
P42574	O15519	1	TNFalpha	9	physical	CASP3	CFLAR
P42574	O14920	1	TNFalpha	9	Proteolytic	CASP3	IKBKB
P55210	O14920	1	TNFalpha	9	Proteolytic	CASP7	IKBKB
P55210	P19438	1	TNFalpha	9	protein_cleavage	CASP7	TNFRSF1A
Q14790	P55957	1	TNFalpha	9	Proteolytic	CASP8	BID
Q14790	Q13490	1	TNFalpha	9	physical	CASP8	BIRC2
Q14790	Q92851	1	TNFalpha	9	physical	CASP8	CASP10
Q14790	O15519	1	TNFalpha	9	physical	CASP8	CFLAR
Q14790	Q13158	1	TNFalpha	9	physical	CASP8	FADD
Q14790	Q99558	1	TNFalpha	9	protein_cleavage	CASP8	MAP3K14
Q14790	Q13546	1	TNFalpha	9	physical	CASP8	RIPK1
Q14790	Q13546	1	TNFalpha	9	protein_cleavage	CASP8	RIPK1
Q14790	Q9Y572	1	TNFalpha	9	physical	CASP8	RIPK3
Q14790	P60602	1	TNFalpha	9	physical	CASP8	ROMO1
Q14790	P21580	1	TNFalpha	9	physical	CASP8	TNFAIP3
Q14790	P19438	1	TNFalpha	9	physical	CASP8	TNFRSF1A
Q14790	Q15628	1	TNFalpha	9	physical	CASP8	TRADD
Q14790	Q13077	1	TNFalpha	9	physical	CASP8	TRAF1
Q14790	Q13077	1	TNFalpha	9	protein_cleavage	CASP8	TRAF1
Q14790	Q12933	1	TNFalpha	9	physical	CASP8	TRAF2
P55211	O14727	1	TNFalpha	9	physical	CASP9	APAF1
Q03135	P19438	1	TNFalpha	9	physical	CAV1	TNFRSF1A
Q03135	Q15628	1	TNFalpha	9	physical	CAV1	TRADD
Q03135	Q12933	1	TNFalpha	9	physical	CAV1	TRAF2
O60563	P50750	1	TNFalpha	9	physical	CCNT1	CDK9
P49427	P25963	1	TNFalpha	9	Ubiquitination	CDC34	NFKBIA
Q16543	O15111	1	TNFalpha	9	physical	CDC37	CHUK
Q16543	P07900	1	TNFalpha	9	physical	CDC37	HSP90AA1
Q16543	O14920	1	TNFalpha	9	physical	CDC37	IKBKB
Q16543	Q14164	1	TNFalpha	9	physical	CDC37	IKBKE
Q16543	Q9Y6K9	1	TNFalpha	9	physical	CDC37	IKBKG
Q16543	Q13233	1	TNFalpha	9	physical	CDC37	MAP3K1
Q16543	Q99558	1	TNFalpha	9	physical	CDC37	MAP3K14
Q16543	Q99759	1	TNFalpha	9	physical	CDC37	MAP3K3
Q16543	O43318	1	TNFalpha	9	physical	CDC37	MAP3K7
Q16543	Q9UHD2	1	TNFalpha	9	physical	CDC37	TBK1
P50750	O60563	1	TNFalpha	9	physical	CDK9	CCNT1
O15519	Q13490	1	TNFalpha	9	physical	CFLAR	BIRC2
O15519	Q92851	1	TNFalpha	9	physical	CFLAR	CASP10
O15519	P42574	1	TNFalpha	9	physical	CFLAR	CASP3
O15519	Q14790	1	TNFalpha	9	physical	CFLAR	CASP8
O15519	Q13158	1	TNFalpha	9	physical	CFLAR	FADD
O15519	P19838	1	TNFalpha	9	physical	CFLAR	NFKB1
O15519	Q13546	1	TNFalpha	9	physical	CFLAR	RIPK1
O15519	Q15628	1	TNFalpha	9	physical	CFLAR	TRADD
O15519	Q13077	1	TNFalpha	9	physical	CFLAR	TRAF1
O15519	Q12933	1	TNFalpha	9	physical	CFLAR	TRAF2
O15111	Q16543	1	TNFalpha	9	physical	CHUK	CDC37
O15111	Q92793	1	TNFalpha	9	physical	CHUK	CREBBP
O15111	P02511	1	TNFalpha	9	physical	CHUK	CRYAB
O15111	Q13451	1	TNFalpha	9	physical	CHUK	FKBP5
O15111	Q16695	1	TNFalpha	9	Phosphorylation	CHUK	HIST3H3
O15111	P07900	1	TNFalpha	9	physical	CHUK	HSP90AA1
O15111	P08238	1	TNFalpha	9	physical	CHUK	HSP90AB1
O15111	O14920	1	TNFalpha	9	physical	CHUK	IKBKB
O15111	Q9Y6K9	1	TNFalpha	9	physical	CHUK	IKBKG
O15111	Q99558	1	TNFalpha	9	physical	CHUK	MAP3K14
O15111	O43318	1	TNFalpha	9	physical	CHUK	MAP3K7
O15111	P19838	1	TNFalpha	9	Phosphorylation	CHUK	NFKB1
O15111	P19838	1	TNFalpha	9	physical	CHUK	NFKB1
O15111	Q00653	1	TNFalpha	9	physical	CHUK	NFKB2
O15111	P25963	1	TNFalpha	9	Phosphorylation	CHUK	NFKBIA
O15111	P25963	1	TNFalpha	9	physical	CHUK	NFKBIA
O15111	Q15653	1	TNFalpha	9	Phosphorylation	CHUK	NFKBIB
O15111	Q15653	1	TNFalpha	9	physical	CHUK	NFKBIB
O15111	Q96MN2	1	TNFalpha	9	physical	CHUK	NLRP4
O15111	Q06124	1	TNFalpha	9	physical	CHUK	PTPN11
O15111	Q04206	1	TNFalpha	9	Phosphorylation	CHUK	RELA
O15111	P12931	1	TNFalpha	9	physical	CHUK	SRC
O15111	Q86VP1	1	TNFalpha	9	Phosphorylation	CHUK	TAX1BP1
O15111	Q86VP1	1	TNFalpha	9	physical	CHUK	TAX1BP1
O15111	P19438	1	TNFalpha	9	physical	CHUK	TNFRSF1A
O15111	Q13077	1	TNFalpha	9	physical	CHUK	TRAF1
O15111	Q12933	1	TNFalpha	9	physical	CHUK	TRAF2
Q8N668	P25963	1	TNFalpha	9	physical	COMMD1	NFKBIA
Q8N668	Q04206	1	TNFalpha	9	physical	COMMD1	RELA
P35606	P19838	1	TNFalpha	9	physical	COPB2	NFKB1
Q9UNS2	Q9Y6K9	1	TNFalpha	9	physical	COPS3	IKBKG
Q92905	Q12933	1	TNFalpha	9	physical	COPS5	TRAF2
P78560	P42575	1	TNFalpha	9	physical	CRADD	CASP2
P78560	Q13546	1	TNFalpha	9	physical	CRADD	RIPK1
Q92793	O15111	1	TNFalpha	9	physical	CREBBP	CHUK
Q92793	Q04206	1	TNFalpha	9	physical	CREBBP	RELA
P02511	O15111	1	TNFalpha	9	physical	CRYAB	CHUK
P02511	O14920	1	TNFalpha	9	physical	CRYAB	IKBKB
P02511	Q9Y6K9	1	TNFalpha	9	physical	CRYAB	IKBKG
P68400	Q04206	1	TNFalpha	9	Phosphorylation	CSNK2A1	RELA
Q13616	Q9Y297	1	TNFalpha	9	physical	CUL1	BTRC
Q13616	Q9UKB1	1	TNFalpha	9	physical	CUL1	FBXW11
Q13616	P25963	1	TNFalpha	9	physical	CUL1	NFKBIA
Q13616	Q15653	1	TNFalpha	9	physical	CUL1	NFKBIB
Q13616	O00221	1	TNFalpha	9	physical	CUL1	NFKBIE
Q13616	P63208	1	TNFalpha	9	physical	CUL1	SKP1
P13498	Q969G6	1	TNFalpha	9	physical	CYBA	RFK
O60477	O14920	1	TNFalpha	9	physical	DBC1	IKBKB
P61962	Q13233	1	TNFalpha	9	physical	DCAF7	MAP3K1
O00571	Q00653	1	TNFalpha	9	physical	DDX3X	NFKB2
Q9NR28	Q13490	1	TNFalpha	9	physical	DIABLO	BIRC2
Q9NR28	Q13489	1	TNFalpha	9	physical	DIABLO	BIRC3
Q92785	Q01201	1	TNFalpha	9	physical	DPF2	RELB
O75530	P63244	1	TNFalpha	9	physical	EED	GNB2L1
O75530	Q9NY59	1	TNFalpha	9	physical	EED	SMPD3
O75530	P19438	1	TNFalpha	9	physical	EED	TNFRSF1A
Q09472	P31749	1	TNFalpha	9	physical	EP300	AKT1
Q09472	Q04206	1	TNFalpha	9	physical	EP300	RELA
Q13158	Q13490	1	TNFalpha	9	physical	FADD	BIRC2
Q13158	Q92851	1	TNFalpha	9	physical	FADD	CASP10
Q13158	Q14790	1	TNFalpha	9	physical	FADD	CASP8
Q13158	O15519	1	TNFalpha	9	physical	FADD	CFLAR
Q13158	Q13546	1	TNFalpha	9	physical	FADD	RIPK1
Q13158	Q9Y572	1	TNFalpha	9	physical	FADD	RIPK3
Q13158	P60602	1	TNFalpha	9	physical	FADD	ROMO1
Q13158	P42224	1	TNFalpha	9	physical	FADD	STAT1
Q13158	P21580	1	TNFalpha	9	physical	FADD	TNFAIP3
Q13158	P19438	1	TNFalpha	9	physical	FADD	TNFRSF1A
Q13158	Q15628	1	TNFalpha	9	physical	FADD	TRADD
Q13158	Q13077	1	TNFalpha	9	physical	FADD	TRAF1
Q13158	Q12933	1	TNFalpha	9	physical	FADD	TRAF2
Q9UNN5	Q04206	1	TNFalpha	9	physical	FAF1	RELA
Q9BXW9	P19438	1	TNFalpha	9	physical	FANCD2	TNFRSF1A
Q9BXW9	P20333	1	TNFalpha	9	physical	FANCD2	TNFRSF1B
P22087	Q99558	1	TNFalpha	9	physical	FBL	MAP3K14
Q9UKB1	Q9Y297	1	TNFalpha	9	physical	FBXW11	BTRC
Q9UKB1	Q13616	1	TNFalpha	9	physical	FBXW11	CUL1
Q9UKB1	P25963	1	TNFalpha	9	physical	FBXW11	NFKBIA
Q9UKB1	P25963	1	TNFalpha	9	Ubiquitination	FBXW11	NFKBIA
Q9UKB1	Q13200	1	TNFalpha	9	physical	FBXW11	PSMD2
Q9UKB1	Q14644	1	TNFalpha	9	physical	FBXW11	RASA3
Q9UKB1	P63208	1	TNFalpha	9	physical	FBXW11	SKP1
Q9UKB1	Q9UHD2	1	TNFalpha	9	physical	FBXW11	TBK1
Q9UKB1	P01375	1	TNFalpha	9	physical	FBXW11	TNF
Q9UKB1	P19438	1	TNFalpha	9	physical	FBXW11	TNFRSF1A
Q9UKB1	P20333	1	TNFalpha	9	physical	FBXW11	TNFRSF1B
Q9UKB1	Q15628	1	TNFalpha	9	physical	FBXW11	TRADD
Q9UKB1	Q12933	1	TNFalpha	9	physical	FBXW11	TRAF2
Q969H0	Q00653	1	TNFalpha	9	physical	FBXW7	NFKB2
Q13451	O15111	1	TNFalpha	9	physical	FKBP5	CHUK
Q13451	Q14164	1	TNFalpha	9	physical	FKBP5	IKBKE
Q13451	Q13233	1	TNFalpha	9	physical	FKBP5	MAP3K1
Q13451	O43318	1	TNFalpha	9	physical	FKBP5	MAP3K7
P21333	Q12933	1	TNFalpha	9	physical	FLNA	TRAF2
Q9UN86	P25963	1	TNFalpha	9	physical	G3BP2	NFKBIA
Q9UN86	Q04206	1	TNFalpha	9	physical	G3BP2	RELA
Q13480	Q99759	1	TNFalpha	9	physical	GAB1	MAP3K3
P16278	P19438	1	TNFalpha	9	physical	GLB1	TNFRSF1A
Q92896	Q00653	1	TNFalpha	9	physical	GLG1	NFKB2
P15104	Q9Y572	1	TNFalpha	9	physical	GLUL	RIPK3
P63244	O75530	1	TNFalpha	9	physical	GNB2L1	EED
P63244	Q92636	1	TNFalpha	9	physical	GNB2L1	NSMAF
P63244	Q9NY59	1	TNFalpha	9	physical	GNB2L1	SMPD3
P63244	P19438	1	TNFalpha	9	physical	GNB2L1	TNFRSF1A
P62993	Q07889	1	TNFalpha	9	physical	GRB2	SOS1
P62993	Q07890	1	TNFalpha	9	physical	GRB2	SOS2
P62993	P19438	1	TNFalpha	9	physical	GRB2	TNFRSF1A
P78347	Q00653	1	TNFalpha	9	physical	GTF2I	NFKB2
Q13547	Q92769	1	TNFalpha	9	physical	HDAC1	HDAC2
Q13547	Q04206	1	TNFalpha	9	physical	HDAC1	RELA
Q92769	Q13547	1	TNFalpha	9	physical	HDAC2	HDAC1
Q92769	Q04206	1	TNFalpha	9	physical	HDAC2	RELA
Q9UBN7	Q01201	1	TNFalpha	9	physical	HDAC6	RELB
P07900	Q16543	1	TNFalpha	9	physical	HSP90AA1	CDC37
P07900	O15111	1	TNFalpha	9	physical	HSP90AA1	CHUK
P07900	O14920	1	TNFalpha	9	physical	HSP90AA1	IKBKB
P07900	Q14164	1	TNFalpha	9	physical	HSP90AA1	IKBKE
P07900	Q9Y6K9	1	TNFalpha	9	physical	HSP90AA1	IKBKG
P07900	Q13233	1	TNFalpha	9	physical	HSP90AA1	MAP3K1
P07900	Q99558	1	TNFalpha	9	physical	HSP90AA1	MAP3K14
P07900	Q99759	1	TNFalpha	9	physical	HSP90AA1	MAP3K3
P07900	O43318	1	TNFalpha	9	physical	HSP90AA1	MAP3K7
P07900	Q13546	1	TNFalpha	9	physical	HSP90AA1	RIPK1
P07900	Q9UHD2	1	TNFalpha	9	physical	HSP90AA1	TBK1
P07900	P19438	1	TNFalpha	9	physical	HSP90AA1	TNFRSF1A
P08238	O15111	1	TNFalpha	9	physical	HSP90AB1	CHUK
P08238	O14920	1	TNFalpha	9	physical	HSP90AB1	IKBKB
P08238	Q14164	1	TNFalpha	9	physical	HSP90AB1	IKBKE
P08238	Q9Y6K9	1	TNFalpha	9	physical	HSP90AB1	IKBKG
P08238	Q13233	1	TNFalpha	9	physical	HSP90AB1	MAP3K1
P08238	Q99558	1	TNFalpha	9	physical	HSP90AB1	MAP3K14
P08238	Q99759	1	TNFalpha	9	physical	HSP90AB1	MAP3K3
P08238	O43318	1	TNFalpha	9	physical	HSP90AB1	MAP3K7
P08238	Q9UHD2	1	TNFalpha	9	physical	HSP90AB1	TBK1
P08107	P11142	1	TNFalpha	9	physical	HSPA1A	HSPA8
P08107	Q5VVH5	1	TNFalpha	9	physical	HSPA1A	IRAK1BP1
P11142	P08107	1	TNFalpha	9	physical	HSPA8	HSPA1A
P11142	Q5VVH5	1	TNFalpha	9	physical	HSPA8	IRAK1BP1
P04792	P25963	1	TNFalpha	9	Ubiquitination	HSPB1	NFKBIA
P04792	P25963	1	TNFalpha	9	physical	HSPB1	NFKBIA
O95163	P25963	1	TNFalpha	9	physical	IKBKAP	NFKBIA
O14920	Q16543	1	TNFalpha	9	physical	IKBKB	CDC37
O14920	O15111	1	TNFalpha	9	physical	IKBKB	CHUK
O14920	P02511	1	TNFalpha	9	physical	IKBKB	CRYAB
O14920	O60477	1	TNFalpha	9	physical	IKBKB	DBC1
O14920	Q99704	1	TNFalpha	9	Phosphorylation	IKBKB	DOK1
O14920	P07900	1	TNFalpha	9	physical	IKBKB	HSP90AA1
O14920	P08238	1	TNFalpha	9	physical	IKBKB	HSP90AB1
O14920	Q9Y6K9	1	TNFalpha	9	physical	IKBKB	IKBKG
O14920	Q99558	1	TNFalpha	9	physical	IKBKB	MAP3K14
O14920	O43318	1	TNFalpha	9	physical	IKBKB	MAP3K7
O14920	P19838	1	TNFalpha	9	Phosphorylation	IKBKB	NFKB1
O14920	Q00653	1	TNFalpha	9	physical	IKBKB	NFKB2
O14920	P25963	1	TNFalpha	9	physical	IKBKB	NFKBIA
O14920	P25963	1	TNFalpha	9	Phosphorylation	IKBKB	NFKBIA
O14920	Q15653	1	TNFalpha	9	physical	IKBKB	NFKBIB
O14920	Q15653	1	TNFalpha	9	Phosphorylation	IKBKB	NFKBIB
O14920	Q04206	1	TNFalpha	9	Phosphorylation	IKBKB	RELA
O14920	Q13546	1	TNFalpha	9	physical	IKBKB	RIPK1
O14920	P12931	1	TNFalpha	9	physical	IKBKB	SRC
O14920	P19438	1	TNFalpha	9	physical	IKBKB	TNFRSF1A
O14920	Q15628	1	TNFalpha	9	physical	IKBKB	TRADD
O14920	Q13077	1	TNFalpha	9	physical	IKBKB	TRAF1
O14920	Q12933	1	TNFalpha	9	physical	IKBKB	TRAF2
Q14164	Q16543	1	TNFalpha	9	physical	IKBKE	CDC37
Q14164	Q13451	1	TNFalpha	9	physical	IKBKE	FKBP5
Q14164	P07900	1	TNFalpha	9	physical	IKBKE	HSP90AA1
Q14164	P08238	1	TNFalpha	9	physical	IKBKE	HSP90AB1
Q14164	Q86UP2	1	TNFalpha	9	physical	IKBKE	KTN1
Q9Y6K9	Q13490	1	TNFalpha	9	physical	IKBKG	BIRC2
Q9Y6K9	Q16543	1	TNFalpha	9	physical	IKBKG	CDC37
Q9Y6K9	O15111	1	TNFalpha	9	physical	IKBKG	CHUK
Q9Y6K9	Q9UNS2	1	TNFalpha	9	physical	IKBKG	COPS3
Q9Y6K9	P02511	1	TNFalpha	9	physical	IKBKG	CRYAB
Q9Y6K9	P07900	1	TNFalpha	9	physical	IKBKG	HSP90AA1
Q9Y6K9	P08238	1	TNFalpha	9	physical	IKBKG	HSP90AB1
Q9Y6K9	O14920	1	TNFalpha	9	physical	IKBKG	IKBKB
Q9Y6K9	Q99558	1	TNFalpha	9	physical	IKBKG	MAP3K14
Q9Y6K9	O43318	1	TNFalpha	9	physical	IKBKG	MAP3K7
Q9Y6K9	P19838	1	TNFalpha	9	physical	IKBKG	NFKB1
Q9Y6K9	Q00653	1	TNFalpha	9	physical	IKBKG	NFKB2
Q9Y6K9	P25963	1	TNFalpha	9	physical	IKBKG	NFKBIA
Q9Y6K9	Q15653	1	TNFalpha	9	physical	IKBKG	NFKBIB
Q9Y6K9	Q13546	1	TNFalpha	9	physical	IKBKG	RIPK1
Q9Y6K9	Q9UHD2	1	TNFalpha	9	physical	IKBKG	TBK1
Q9Y6K9	P21580	1	TNFalpha	9	physical	IKBKG	TNFAIP3
Q9Y6K9	P19438	1	TNFalpha	9	physical	IKBKG	TNFRSF1A
Q9Y6K9	Q13077	1	TNFalpha	9	physical	IKBKG	TRAF1
Q9Y6K9	Q96Q05	1	TNFalpha	9	physical	IKBKG	TRAPPC9
Q9Y6K9	P40222	1	TNFalpha	9	physical	IKBKG	TXLNA
Q9Y6K9	O76080	1	TNFalpha	9	physical	IKBKG	ZFAND5
Q13576	Q15653	1	TNFalpha	9	physical	IQGAP2	NFKBIB
Q13576	Q04206	1	TNFalpha	9	physical	IQGAP2	RELA
Q5VVH5	P08107	1	TNFalpha	9	physical	IRAK1BP1	HSPA1A
Q5VVH5	P11142	1	TNFalpha	9	physical	IRAK1BP1	HSPA8
Q5VVH5	Q04206	1	TNFalpha	9	physical	IRAK1BP1	RELA
P51787	Q9Y4K3	1	TNFalpha	9	physical	KCNQ1	TRAF6
P52292	Q15653	1	TNFalpha	9	physical	KPNA2	NFKBIB
P52292	Q01201	1	TNFalpha	9	physical	KPNA2	RELB
O00505	P19838	1	TNFalpha	9	physical	KPNA3	NFKB1
O60684	Q01201	1	TNFalpha	9	physical	KPNA6	RELB
Q86UP2	Q14164	1	TNFalpha	9	physical	KTN1	IKBKE
P42704	Q15653	1	TNFalpha	9	physical	LRPPRC	NFKBIB
Q8WXG6	P19438	1	TNFalpha	9	physical	MADD	TNFRSF1A
P45985	P45983	1	TNFalpha	9	Phosphorylation	MAP2K4	MAPK8
P45985	P45984	1	TNFalpha	9	Phosphorylation	MAP2K4	MAPK9
Q13163	Q99759	1	TNFalpha	9	physical	MAP2K5	MAP3K3
O14733	P45983	1	TNFalpha	9	Phosphorylation	MAP2K7	MAPK8
Q13233	Q16543	1	TNFalpha	9	physical	MAP3K1	CDC37
Q13233	P61962	1	TNFalpha	9	physical	MAP3K1	DCAF7
Q13233	Q13451	1	TNFalpha	9	physical	MAP3K1	FKBP5
Q13233	P07900	1	TNFalpha	9	physical	MAP3K1	HSP90AA1
Q13233	P08238	1	TNFalpha	9	physical	MAP3K1	HSP90AB1
Q13233	Q12851	1	TNFalpha	9	physical	MAP3K1	MAP4K2
Q13233	P25963	1	TNFalpha	9	Phosphorylation	MAP3K1	NFKBIA
Q13233	Q13546	1	TNFalpha	9	physical	MAP3K1	RIPK1
Q13233	P62888	1	TNFalpha	9	physical	MAP3K1	RPL30
Q13233	P36578	1	TNFalpha	9	physical	MAP3K1	RPL4
Q13233	P62277	1	TNFalpha	9	physical	MAP3K1	RPS13
Q13233	Q12933	1	TNFalpha	9	physical	MAP3K1	TRAF2
Q13233	P63279	1	TNFalpha	9	physical	MAP3K1	UBE2I
Q16584	Q12933	1	TNFalpha	9	physical	MAP3K11	TRAF2
Q99558	Q16543	1	TNFalpha	9	physical	MAP3K14	CDC37
Q99558	O15111	1	TNFalpha	9	Phosphorylation	MAP3K14	CHUK
Q99558	O15111	1	TNFalpha	9	physical	MAP3K14	CHUK
Q99558	P22087	1	TNFalpha	9	physical	MAP3K14	FBL
Q99558	P07900	1	TNFalpha	9	physical	MAP3K14	HSP90AA1
Q99558	P08238	1	TNFalpha	9	physical	MAP3K14	HSP90AB1
Q99558	O14920	1	TNFalpha	9	physical	MAP3K14	IKBKB
Q99558	Q9Y6K9	1	TNFalpha	9	physical	MAP3K14	IKBKG
Q99558	Q00653	1	TNFalpha	9	physical	MAP3K14	NFKB2
Q99558	P62888	1	TNFalpha	9	physical	MAP3K14	RPL30
Q99558	P36578	1	TNFalpha	9	physical	MAP3K14	RPL4
Q99558	Q02878	1	TNFalpha	9	physical	MAP3K14	RPL6
Q99558	P62917	1	TNFalpha	9	physical	MAP3K14	RPL8
Q99558	P62280	1	TNFalpha	9	physical	MAP3K14	RPS11
Q99558	P62277	1	TNFalpha	9	physical	MAP3K14	RPS13
Q99558	Q12933	1	TNFalpha	9	physical	MAP3K14	TRAF2
Q99558	Q13114	1	TNFalpha	9	physical	MAP3K14	TRAF3
Q99558	O00463	1	TNFalpha	9	physical	MAP3K14	TRAF5
Q99558	Q9Y4K3	1	TNFalpha	9	physical	MAP3K14	TRAF6
Q9Y2U5	P25963	1	TNFalpha	9	Phosphorylation	MAP3K2	NFKBIA
Q99759	Q16543	1	TNFalpha	9	physical	MAP3K3	CDC37
Q99759	Q13480	1	TNFalpha	9	physical	MAP3K3	GAB1
Q99759	P07900	1	TNFalpha	9	physical	MAP3K3	HSP90AA1
Q99759	P08238	1	TNFalpha	9	physical	MAP3K3	HSP90AB1
Q99759	O14920	1	TNFalpha	9	Phosphorylation	MAP3K3	IKBKB
Q99759	Q13163	1	TNFalpha	9	physical	MAP3K3	MAP2K5
Q99759	Q7KZI7	1	TNFalpha	9	physical	MAP3K3	MARK2
Q99759	P25963	1	TNFalpha	9	Phosphorylation	MAP3K3	NFKBIA
Q99759	Q9UHV9	1	TNFalpha	9	physical	MAP3K3	PFDN2
Q99759	Q13546	1	TNFalpha	9	physical	MAP3K3	RIPK1
Q99759	Q6Q0C0	1	TNFalpha	9	physical	MAP3K3	TRAF7
Q99759	P31946	1	TNFalpha	9	physical	MAP3K3	YWHAB
Q99759	P62258	1	TNFalpha	9	physical	MAP3K3	YWHAE
Q99759	P61981	1	TNFalpha	9	physical	MAP3K3	YWHAG
Q99759	Q04917	1	TNFalpha	9	physical	MAP3K3	YWHAH
Q99759	P27348	1	TNFalpha	9	physical	MAP3K3	YWHAQ
Q99759	P63104	1	TNFalpha	9	physical	MAP3K3	YWHAZ
Q99683	P06400	1	TNFalpha	9	physical	MAP3K5	RB1
Q99683	Q969G6	1	TNFalpha	9	physical	MAP3K5	RFK
Q99683	P21580	1	TNFalpha	9	physical	MAP3K5	TNFAIP3
Q99683	Q12933	1	TNFalpha	9	physical	MAP3K5	TRAF2
O43318	Q16543	1	TNFalpha	9	physical	MAP3K7	CDC37
O43318	O15111	1	TNFalpha	9	physical	MAP3K7	CHUK
O43318	Q13451	1	TNFalpha	9	physical	MAP3K7	FKBP5
O43318	P07900	1	TNFalpha	9	physical	MAP3K7	HSP90AA1
O43318	P08238	1	TNFalpha	9	physical	MAP3K7	HSP90AB1
O43318	O14920	1	TNFalpha	9	physical	MAP3K7	IKBKB
O43318	Q9Y6K9	1	TNFalpha	9	physical	MAP3K7	IKBKG
O43318	Q15750	1	TNFalpha	9	physical	MAP3K7	TAB1
O43318	Q9NYJ8	1	TNFalpha	9	physical	MAP3K7	TAB2
O43318	Q8N5C8	1	TNFalpha	9	physical	MAP3K7	TAB3
O43318	Q12933	1	TNFalpha	9	physical	MAP3K7	TRAF2
P41279	Q02750	1	TNFalpha	9	Phosphorylation	MAP3K8	MAP2K1
P41279	P19838	1	TNFalpha	9	physical	MAP3K8	NFKB1
P41279	Q00653	1	TNFalpha	9	physical	MAP3K8	NFKB2
