#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol
--	P16885	1	KitReceptor	6	Phosphorylation	--	PLCG2
P52333	P19174	1	KitReceptor	6	physical	JAK3	PLCG1
P10721	Q06187	1	KitReceptor	6	physical	KIT	BTK
P10721	P22681	1	KitReceptor	6	physical	KIT	CBL
P10721	Q13191	1	KitReceptor	6	physical	KIT	CBLB
P10721	Q00610	1	KitReceptor	6	physical	KIT	CLTC
P10721	P46108	1	KitReceptor	6	physical	KIT	CRK
P10721	P46109	1	KitReceptor	6	physical	KIT	CRKL
P10721	P32927	1	KitReceptor	6	physical	KIT	CSF2RB
P10721	Q99704	1	KitReceptor	6	physical	KIT	DOK1
P10721	P19235	1	KitReceptor	6	physical	KIT	EPOR
P10721	P07332	1	KitReceptor	6	physical	KIT	FES
P10721	P06241	1	KitReceptor	6	physical	KIT	FYN
P10721	Q13588	1	KitReceptor	6	physical	KIT	GRAP
P10721	Q13322	1	KitReceptor	6	physical	KIT	GRB10
P10721	P62993	1	KitReceptor	6	physical	KIT	GRB2
P10721	Q14451	1	KitReceptor	6	physical	KIT	GRB7
P10721	P08631	1	KitReceptor	6	physical	KIT	HCK
P10721	P16871	1	KitReceptor	6	physical	KIT	IL7R
P10721	Q92835	1	KitReceptor	6	physical	KIT	INPP5D
P10721	O60674	1	KitReceptor	6	physical	KIT	JAK2
P10721	P52333	1	KitReceptor	6	physical	KIT	JAK3
P10721	P21583	1	KitReceptor	6	physical	KIT	KITLG
P10721	P07948	1	KitReceptor	6	physical	KIT	LYN
P10721	Q13257	1	KitReceptor	6	physical	KIT	MAD2L1
P10721	P42679	1	KitReceptor	6	physical	KIT	MATK
P10721	O75970	1	KitReceptor	6	physical	KIT	MPDZ
P10721	P42336	1	KitReceptor	6	physical	KIT	PIK3CA
P10721	P27986	1	KitReceptor	6	physical	KIT	PIK3R1
P10721	P27986	1	KitReceptor	6	Phosphorylation	KIT	PIK3R1
P10721	O00459	1	KitReceptor	6	Phosphorylation	KIT	PIK3R2
P10721	O00459	1	KitReceptor	6	physical	KIT	PIK3R2
P10721	P19174	1	KitReceptor	6	physical	KIT	PLCG1
P10721	Q06124	1	KitReceptor	6	physical	KIT	PTPN11
P10721	P29350	1	KitReceptor	6	physical	KIT	PTPN6
P10721	Q92729	1	KitReceptor	6	physical	KIT	PTPRU
P10721	P20936	1	KitReceptor	6	physical	KIT	RASA1
P10721	O14492	1	KitReceptor	6	physical	KIT	SH2B2
P10721	Q9UQQ2	1	KitReceptor	6	physical	KIT	SH2B3
P10721	Q96B97	1	KitReceptor	6	physical	KIT	SH3KBP1
P10721	P29353	1	KitReceptor	6	physical	KIT	SHC1
P10721	O15524	1	KitReceptor	6	physical	KIT	SOCS1
P10721	Q8WXH5	1	KitReceptor	6	physical	KIT	SOCS4
P10721	O75159	1	KitReceptor	6	physical	KIT	SOCS5
P10721	O14544	1	KitReceptor	6	physical	KIT	SOCS6
P10721	Q7Z699	1	KitReceptor	6	Phosphorylation	KIT	SPRED1
P10721	Q7Z699	1	KitReceptor	6	physical	KIT	SPRED1
P10721	Q7Z698	1	KitReceptor	6	Phosphorylation	KIT	SPRED2
P10721	Q7Z698	1	KitReceptor	6	physical	KIT	SPRED2
P10721	P12931	1	KitReceptor	6	physical	KIT	SRC
P10721	Q9ULZ2	1	KitReceptor	6	physical	KIT	STAP1
P10721	P42224	1	KitReceptor	6	Phosphorylation	KIT	STAT1
P10721	P42224	1	KitReceptor	6	physical	KIT	STAT1
P10721	P42229	1	KitReceptor	6	Phosphorylation	KIT	STAT5A
P10721	P42229	1	KitReceptor	6	physical	KIT	STAT5A
P10721	P51692	1	KitReceptor	6	physical	KIT	STAT5B
P10721	P51692	1	KitReceptor	6	Phosphorylation	KIT	STAT5B
P10721	P42680	1	KitReceptor	6	physical	KIT	TEC
P10721	P15498	1	KitReceptor	6	Phosphorylation	KIT	VAV1
P10721	P07947	1	KitReceptor	6	physical	KIT	YES1
P21583	P10721	1	KitReceptor	6	physical	KITLG	KIT
P07948	Q99704	1	KitReceptor	6	Phosphorylation	LYN	DOK1
P07948	Q99704	1	KitReceptor	6	physical	LYN	DOK1
P07948	P10721	1	KitReceptor	6	physical	LYN	KIT
P07948	P10721	1	KitReceptor	6	Phosphorylation	LYN	KIT
P07948	P42680	1	KitReceptor	6	physical	LYN	TEC
Q13257	P10721	1	KitReceptor	6	physical	MAD2L1	KIT
P28482	P19419	1	KitReceptor	6	Phosphorylation	MAPK1	ELK1
P28482	O75030	1	KitReceptor	6	Phosphorylation	MAPK1	MITF
P27361	P19419	1	KitReceptor	6	Phosphorylation	MAPK3	ELK1
P42679	P10721	1	KitReceptor	6	physical	MATK	KIT
O75030	Q09472	1	KitReceptor	6	physical	MITF	EP300
O75970	P10721	1	KitReceptor	6	physical	MPDZ	KIT
P42336	P10721	1	KitReceptor	6	physical	PIK3CA	KIT
P27986	P22681	1	KitReceptor	6	physical	PIK3R1	CBL
P27986	P46108	1	KitReceptor	6	physical	PIK3R1	CRK
P27986	P46109	1	KitReceptor	6	physical	PIK3R1	CRKL
P27986	Q99704	1	KitReceptor	6	physical	PIK3R1	DOK1
P27986	P10721	1	KitReceptor	6	physical	PIK3R1	KIT
P27986	O00459	1	KitReceptor	6	physical	PIK3R1	PIK3R2
P27986	P12931	1	KitReceptor	6	physical	PIK3R1	SRC
O00459	P22681	1	KitReceptor	6	physical	PIK3R2	CBL
O00459	P46109	1	KitReceptor	6	physical	PIK3R2	CRKL
O00459	Q99704	1	KitReceptor	6	physical	PIK3R2	DOK1
O00459	P10721	1	KitReceptor	6	physical	PIK3R2	KIT
O00459	P27986	1	KitReceptor	6	physical	PIK3R2	PIK3R1
P19174	Q99704	1	KitReceptor	6	physical	PLCG1	DOK1
P19174	P52333	1	KitReceptor	6	physical	PLCG1	JAK3
P19174	P10721	1	KitReceptor	6	physical	PLCG1	KIT
P17252	P10721	1	KitReceptor	6	Phosphorylation	PRKCA	KIT
P05771	P10721	1	KitReceptor	6	Phosphorylation	PRKCB	KIT
Q06124	Q9UQC2	1	KitReceptor	6	physical	PTPN11	GAB2
Q06124	P62993	1	KitReceptor	6	physical	PTPN11	GRB2
Q06124	P10721	1	KitReceptor	6	physical	PTPN11	KIT
P29350	P10721	1	KitReceptor	6	physical	PTPN6	KIT
P29350	P10721	1	KitReceptor	6	Dephosphorylation	PTPN6	KIT
Q92729	P10721	1	KitReceptor	6	physical	PTPRU	KIT
P04049	P01112	1	KitReceptor	6	physical	RAF1	HRAS
P20936	Q99704	1	KitReceptor	6	physical	RASA1	DOK1
P20936	P10721	1	KitReceptor	6	physical	RASA1	KIT
Q15418	O75030	1	KitReceptor	6	Phosphorylation	RPS6KA1	MITF
O14492	P10721	1	KitReceptor	6	physical	SH2B2	KIT
Q9UQQ2	P10721	1	KitReceptor	6	physical	SH2B3	KIT
Q96B97	Q13191	1	KitReceptor	6	physical	SH3KBP1	CBLB
Q96B97	P10721	1	KitReceptor	6	physical	SH3KBP1	KIT
P29353	P22681	1	KitReceptor	6	physical	SHC1	CBL
P29353	Q99704	1	KitReceptor	6	physical	SHC1	DOK1
P29353	P62993	1	KitReceptor	6	physical	SHC1	GRB2
P29353	P10721	1	KitReceptor	6	physical	SHC1	KIT
P29353	Q07889	1	KitReceptor	6	physical	SHC1	SOS1
P29353	P42680	1	KitReceptor	6	physical	SHC1	TEC
O15524	P62993	1	KitReceptor	6	physical	SOCS1	GRB2
O15524	P10721	1	KitReceptor	6	physical	SOCS1	KIT
O15524	P15498	1	KitReceptor	6	physical	SOCS1	VAV1
Q8WXH5	P10721	1	KitReceptor	6	physical	SOCS4	KIT
O75159	P10721	1	KitReceptor	6	physical	SOCS5	KIT
O14544	P10721	1	KitReceptor	6	physical	SOCS6	KIT
Q07889	P62993	1	KitReceptor	6	physical	SOS1	GRB2
Q07889	P29353	1	KitReceptor	6	physical	SOS1	SHC1
Q7Z699	P10721	1	KitReceptor	6	physical	SPRED1	KIT
Q7Z698	P10721	1	KitReceptor	6	physical	SPRED2	KIT
P12931	Q99704	1	KitReceptor	6	physical	SRC	DOK1
P12931	P10721	1	KitReceptor	6	Phosphorylation	SRC	KIT
P12931	P10721	1	KitReceptor	6	physical	SRC	KIT
P12931	P27986	1	KitReceptor	6	physical	SRC	PIK3R1
Q9ULZ2	P10721	1	KitReceptor	6	physical	STAP1	KIT
P42224	P10721	1	KitReceptor	6	physical	STAT1	KIT
P42224	P42229	1	KitReceptor	6	physical	STAT1	STAT5A
P42224	P51692	1	KitReceptor	6	physical	STAT1	STAT5B
P42229	P10721	1	KitReceptor	6	physical	STAT5A	KIT
P42229	P42224	1	KitReceptor	6	physical	STAT5A	STAT1
P42229	P51692	1	KitReceptor	6	physical	STAT5A	STAT5B
P51692	P10721	1	KitReceptor	6	physical	STAT5B	KIT
P51692	P42224	1	KitReceptor	6	physical	STAT5B	STAT1
P51692	P42229	1	KitReceptor	6	physical	STAT5B	STAT5A
P42680	Q99704	1	KitReceptor	6	physical	TEC	DOK1
P42680	Q99704	1	KitReceptor	6	Phosphorylation	TEC	DOK1
P42680	P10721	1	KitReceptor	6	physical	TEC	KIT
P42680	P07948	1	KitReceptor	6	physical	TEC	LYN
P42680	P29353	1	KitReceptor	6	physical	TEC	SHC1
O00220	Q06187	1	KitReceptor	6	physical	TNFRSF10A	BTK
P15498	O15524	1	KitReceptor	6	physical	VAV1	SOCS1
P42768	P61160	1	KitReceptor	6	physical	WAS	ACTR2
P42768	O43516	1	KitReceptor	6	physical	WAS	WIPF1
O43516	P61160	1	KitReceptor	6	physical	WIPF1	ACTR2
O43516	P42768	1	KitReceptor	6	physical	WIPF1	WAS
P07947	Q99704	1	KitReceptor	6	physical	YES1	DOK1
P07947	P10721	1	KitReceptor	6	physical	YES1	KIT
