HTR4	Q13639
CLC	Q05315
TMEM229B	Q8NBD8
CLU	P10909
MT1DP	A1L3X4
OIP5	O43482
DIO1	P49895
DIO2	Q92813
DIO3	P55073
FAM91A1	Q658Y4
MTNR1A	P48039
MTNR1B	P49286
CNP	P09543
CD300LB	A8K4G0
CD300LD	Q6UXZ3
CD300LF	Q8TDQ1
CD300LG	Q6UXG3
MCL1	Q07820
TCEANC	Q8N8B7
BCL9	O00512
UBOX5	O94941
BCL6	P41182
CPD	O75976
BCL3	P20749
BCL2	P10415
CPE	P16870
OSCP1	Q8WVF1
CPM	P14384
MCM7	P33993
MCM8	Q9UJA3
CPQ	Q9Y646
COL14A1	Q05707
MCM9	Q9NXL9
CPZ	Q66K79
KBTBD13	C9JR72
CEP170B	Q9Y4F5
OIT3	Q8WWZ8
CR2	P20023
CR1	P17927
GGPS1	O95749
SGIP1	Q9BQI5
DIS3	Q9Y2L1
SAPCD2	Q86UD0
SAPCD1	Q5SSQ6
MCM3	P25205
CRH	P06850
XCL2	Q9UBD3
MCM4	P33991
XCL1	P47992
MCM5	P33992
MCM6	Q14566
CRK	P46108
MCM2	P49736
CRP	P02741
CRX	O43186
STOX2	Q9P2F5
SVBP	Q8N300
IL21R	Q9HBE5
CSK	P41240
BCO2	Q9BYV7
BCO1	Q9HAY6
STOX1	Q6ZVD7
SLC35A2	P78381
SLC35A1	P78382
SLC35A4	Q96G79
SLC35A3	Q9Y2D2
CPPED1	Q9BRF8
MAB21L3	Q8N8X9
ASXL1	Q8IXJ9
MAB21L4	Q08AI8
MAB21L1	Q13394
ASXL3	Q9C0F0
CTH	P32929
ASXL2	Q76L83
MAB21L2	Q9Y586
BCOR	Q6W2J9
SLC35B3	Q9H1N7
SLC35B2	Q8TB61
IL1RN	P18510
SLC35B4	Q969S0
SLC35B1	P78383
IL23R	Q5VWK5
ARFIP2	P53365
ARFIP1	P53367
SLC35A5	Q9BS91
TANGO6	Q9C0B7
IL1R1	P14778
SLC35C2	Q9NQQ7
IL1R2	P27930
TANGO2	Q6ICL3
SLC35C1	Q96A29
IL23A	Q9NPF7
SLC35D1	Q9NTN3
SH2D2A	Q9NP31
SLC35D3	Q5M8T2
SLC35D2	Q76EJ3
XCR1	P46094
SLC35E1	Q96K37
SLC35E4	Q6ICL7
SH2D1A	O60880
SLC35E3	Q7Z769
SH2D1B	O14796
SLC35F6	Q8N357
CAB39L	Q9H9S4
SLC35F2	Q8IXU6
SLC35F5	Q8WV83
MCUB	Q9NWR8
SLC35F1	Q5T1Q4
SIPA1L2	Q9P2F8
SIPA1L3	O60292
SIPA1L1	O43166
SLC35G3	Q8N808
SLC35G5	Q96KT7
SLC35G2	Q8TBE7
SLC35G1	Q2M3R5
AMER1	Q5JTC6
AMER2	Q8N7J2
AMER3	Q8N944
RGPD6	Q99666
RGPD5	Q99666
RGPD8	O14715
RGPD2	P0DJD1
RGPD1	P0DJD0
RGPD4	Q7Z3J3
BEGAIN	Q9BUH8
RGPD3	A6NKT7
TCEAL8	Q8IYN2
TCEAL7	Q9BRU2
TCEAL6	Q6IPX3
TCEAL5	Q5H9L2
TCEAL4	Q96EI5
TCEAL3	Q969E4
TCEAL2	Q9H3H9
TCEAL1	Q15170
TCEAL9	Q9UHQ7
SVIL	O95425
SVIP	Q8NHG7
SPCS3	P61009
SPCS2	Q15005
SPCS1	Q9Y6A9
MT-RNR2	Q8IVG9
QPCT	Q16769
NUPL2	O15504
SIPA1	Q96FS4
CLEC18C	Q8NCF0
CLEC18B	Q6UXF7
CLEC18A	A5D8T8
C3orf67	Q6ZVT6
OR5H15	A6NDH6
OR5H14	A6NHG9
C3orf62	Q6ZUJ4
CSKMT	A8MUP2
FPGT	O14772
FPGS	Q05932
CLEC19A	Q6UXS0
C3orf70	A6NLC5
SPECC1L	Q69YQ0
TIMELESS	Q9UNS1
NUPR1	O60356
CLEC16A	Q2KHT3
CAMSAP1	Q5T5Y3
CAMSAP2	Q08AD1
NPC1L1	Q9UHC9
AMELX	Q99217
AMELY	Q99218
PNPT1	Q8TCS8
CLEC17A	Q6ZS10
CAMSAP3	Q9P1Y5
DAP	P51397
DAO	P14920
SKIV2L	Q15477
CLEC14A	Q86T13
DBI	P07108
DBH	P09172
C3orf20	XP_006713406
DBP	Q10586
DBT	P11182
C3orf38	Q5JPI3
STPG3	Q8N7X2
SVOP	Q8N4V2
STPG2	Q8N412
DCD	P81605
DCC	P43146
STPG4	Q8N801
C3orf33	Q6P1S2
C3orf36	Q3SXR2
DCK	P27707
DCN	P07585
C1QTNF9B	B2RNN3
C3orf35	Q8IVJ8
ZAP70	P43403
DCT	P40126
DCX	O43602
DNASE2	O00115
DNASE1	P24855
DDC	P20711
CLEC12A	Q5QGZ9
CLEC12B	Q2HXU8
DDO	Q99489
DDN	O94850
DDT	P30046
C3orf52	Q5BVD1
DEK	P35659
C3orf56	Q8N813
DES	P17661
MT-ND6	P03923
MDC1	Q14676
MT-ND4	P03905
MT-ND5	P03915
NEXMIF	Q5QGS0
MT-ND2	P03891
MT-ND3	P03897
MT-ND1	P03886
IL4I1	Q96RQ9
AR	P10275
CGGBP1	Q9UFW8
GRID2IP	A4D2P6
DHH	O43323
ACTL7A	Q9Y615
ACTL7B	Q9Y614
FPR1	P21462
FPR3	P25089
FPR2	P25090
C2	P06681
C3	P01024
DYNC2LI1	Q8TCX1
C5	P01031
C6	P13671
C7	P10643
C9	P02748
CP	P00450
CS	O75390
DMRTC1B	Q5HYR2
LRSAM1	Q6UWE0
RPLP1	P05386
QPRT	Q15274
RPLP0	P05388
ECSIT	Q9BQ95
RPLP2	P05387
ACTL6B	O94805
ACTL6A	O96019
SIRT4	Q9Y6E7
SIRT5	Q9NXA8
SIRT6	Q8N6T7
SIRT7	Q9NRC8
F2	P00734
SIRT1	Q96EB6
F3	P13726
SIRT2	Q8IXJ6
SIRT3	Q9NTG7
F5	P12259
F7	P08709
F8	P00451
F9	P00740
BDH2	Q9BUT1
BDH1	Q02338
CDC42EP5	Q6NZY7
CDC42EP4	Q9H3Q1
TGIF2LX	Q8IUE1
CDC42EP3	Q9UKI2
TGIF2LY	Q8IUE0
CDC42EP2	O14613
CDC42EP1	Q00587
DLD	P09622
MDFI	Q99750
FH	P07954
CCNDBP1	O95273
HLA-DMA	P28067
HLA-DMB	P28068
DMD	P11532
CSMD3	Q7Z407
GC	P02774
CSMD2	Q7Z408
CSMD1	Q96PZ7
MDH1	P40925
GK	P32189
MDH2	P40926
TTLL7	Q6ZT98
TTLL6	Q8N841
TTLL5	Q6EMB2
TTLL4	Q14679
TTLL3	Q9Y4R7
TTLL2	Q9BWV7
TTLL1	O95922
GGT3P	A6NGU5
TTLL9	Q3SXZ7
TTLL8	A6PVC2
HP	P00738
HR	O43593
HPGDS	O60760
PABPC4L	P0CB38
HLA-DOA	P06340
HLA-DOB	P13765
IK	Q13123
VPS33A	Q96AX1
VPS33B	Q9H267
NSMAF	Q92636
ECSCR	Q19T08
DPT	Q07507
IGLV2-11	P01706
IGLV2-14	P01704
MDN1	Q9NU22
KL	Q9UEF7
DR1	Q01658
BDNF	P23560
KY	Q8NBH2
ZC3HC1	Q86WB0
IGLV2-23	P01705
MDM2	Q00987
HLA-DRA	P01903
MDM4	O15151
MDM1	Q8TC05
SH2D4A	Q9H788
MB	P02144
DSE	Q9UL01
MDP1	Q86V88
SPG11	Q96JI7
DSP	P15924
DST	Q03001
SH2D3A	Q9BRG2
SH2D3C	Q8N5H7
VPS37C	A5D8V6
VPS37D	Q86XT2
VPS37A	Q8NEZ2
VPS37B	Q9H9H4
BDP1	A6H8Y1
DTL	Q9NZJ0
RNFT2	Q96EX2
COL15A1	P39059
HSD17B14	Q9BPX1
HSD17B13	Q7Z5P4
HSD17B12	Q53GQ0
HSD17B11	Q8NBQ5
HSD17B10	Q99714
RNFT1	Q5M7Z0
SLITRK2	Q9H156
SLITRK1	Q96PX8
SLITRK4	Q8IW52
SLITRK3	O94933
SLITRK6	Q9H5Y7
SLITRK5	O94991
LINGO2	Q7L985
LINGO1	Q96FE5
DUT	P33316
PC	P11498
PABPC1L	Q4VXU2
MDGA2	Q7Z553
MDGA1	Q8NFP4
SPG21	Q9NZD8
VPS35L	Q7Z3J2
DHFR2	Q86XF0
RETREG3	Q86VR2
RGSL1	A5PLK6
TXNDC11	Q6PKC3
TXNDC12	O95881
TXNDC15	Q96J42
TXNDC16	Q9P2K2
TXNDC17	Q9BRA2
SLC34A3	Q8N130
SLC34A2	O95436
SLC34A1	Q06495
TIMD4	Q96H15
DXO	O77932
EPHA10	Q5JZY3
MST1R	Q04912
MST1L	Q2TV78
OSGEP	Q9NPF4
SI	P14410
SWI5	Q1ZZU3
DYM	Q7RTS9
TF	P02787
TG	P01266
TH	P07101
RETREG2	Q8NC44
RETREG1	Q9H6L5
PCSK2	P16519
PCSK1	P29120
SLC7A14	Q8TBB6
PCSK9	Q8NBP7
SLC7A13	Q8TCU3
SLC7A11	Q9UPY5
PCSK7	Q16549
SLC7A10	Q9NS82
PCSK6	P29122
PCSK5	Q92824
CLYBL	Q8N0X4
PCSK4	Q6UW60
GNGT1	P63211
GNGT2	O14610
HYAL1	Q12794
HYAL2	Q12891
HYAL3	O43820
HYAL4	Q2M3T9
SSSCA1	O60232
L3HYPDH	Q96EM0
G2E3	Q7L622
IGHMBP2	P38935
ALS2CL	Q60I27
PLEKHG4B	Q96PX9
XK	P51811
GLB1L	Q6UWU2
THEMIS2	Q5TEJ8
ATP11AUN	Q6ZP68
PAMR1	Q6UXH9
DKC1	O60832
HCAR2	Q8TDS4
HCAR3	P49019
EBP	Q15125
HCAR1	Q9BXC0
ECD	O95905
PHOX2B	Q99453
PHOX2A	O14813
STT3A	P46977
STT3B	Q8TCJ2
EDA	Q92838
MEA1	Q16626
EED	O75530
DARS2	Q6PI48
ACVR1B	P36896
EFS	O43281
ACVR1C	Q8NER5
APOPT1	Q96IL0
MDH1B	Q5I0G3
EGF	P01133
SWT1	XP_005245330
ACVR2B	Q13705
ACVR2A	P27037
RPL30	P62888
EHF	Q9NZC4
RPL32	P62910
TMEM200B	Q69YZ2
RPL31	P62899
TMEM200A	Q86VY9
RPL34	P49207
TMEM200C	A6NKL6
ABCA12	Q86UK0
ABCA13	Q86UQ4
GPR173	Q9NS66
GPR176	Q14439
GPR171	O14626
RPL36	Q9Y3U8
RPL35	P42766
ADNP2	Q6IQ32
RPL38	P63173
RPL37	P61927
ANKS1A	Q92625
RPL39	P62891
ANKS1B	Q7Z6G8
GPR179	Q6PRD1
MED1	Q15648
MECR	Q9BV79
RPL21	P46778
RPL23	P62829
RPL22	P35268
MED8	Q96G25
MED9	Q9NWA0
AARSD1	Q9BTE6
MED4	Q9NPJ6
DKK1	O94907
MED6	O75586
DKK2	Q9UBU2
MED7	O43513
DKK3	Q9UBP4
DKK4	Q9UBT3
GPR162	Q16538
ABCA10	Q8WWZ4
GPR161	Q8N6U8
RPL24	P83731
RPL27	P61353
RPL26	P61254
RPL29	P47914
RPL28	P46779
GPLD1	P80108
OSER1	Q9NX31
VPS26C	O14972
VPS26A	O75436
VPS26B	Q4G0F5
MEFV	O15553
RPL41	P62945
SLC16A12	Q6ZSM3
PRRC2C	Q9Y520
SLC16A11	Q8NCK7
SLC16A10	Q8TF71
PRRC2B	Q5JSZ5
SLC16A14	Q7RTX9
RPL3L	Q92901
PRRC2A	P48634
SLC16A13	Q7RTY0
GPR180	Q86V85
GPR183	P32249
GPR182	O15218
SPEF2	Q9C093
ELL	P55199
MEI1	Q5TIA1
SPEF1	Q9Y4P9
ELN	P15502
MEI4	A8MW99
GPR132	Q9UNW8
GPR137	Q96N19
EMB	Q6PCB8
EMD	P50402
GPR135	Q8IZ08
ZC3H10	Q96K80
EN2	P19622
EN1	Q05925
GCFC2	P16383
AFTPH	Q6ULP2
ENG	P17813
PCYOX1	Q9UHG3
RPL10	P27635
RPL12	P30050
RPL11	P62913
GPR152	Q8TDT2
GPR151	Q8TDV0
GPR150	Q8NGU9
RPL14	P50914
RPL13	P26373
RPL15	P61313
RPL18	Q07020
GPR156	Q8NFN8
RPL17	P18621
GPR155	Q7Z3F1
GPR158	Q5T848
RPL19	P84098
F10	P00742
F12	P00748
F11	P03951
NMNAT3	Q96T66
NMNAT2	Q9BZQ4
GPR141	Q7Z602
GPR143	P51810
GPR142	Q7Z601
NMNAT1	Q9HAN9
MSRB2	Q9Y3D2
GPR149	Q86SP6
MSRB3	Q8IXL7
GPR148	Q8TDV2
ANKS4B	Q8N8V4
MSRB1	Q9NZV6
GPR146	Q96CH1
COL16A1	Q07092
EPO	P01588
EPX	P11678
MEN1	O00255
RNF43	Q68DV7
RNF44	Q7L0R7
F2R	P25116
RNF40	O75150
RNF41	Q9H4P4
MELK	Q14680
GAPDHS	O14556
ERF	P50548
ERH	P84090
ERG	P11308
ABHD4	Q8TB40
ABHD3	Q8WU67
GPR119	Q8TDV5
ABHD2	XP_005254890
ABHD1	Q96SE0
ABHD8	Q96I13
ABHD6	Q9BV23
ABHD5	Q8WTS1
STRA8	Q7Z7C7
OARD1	Q9Y530
ESD	P10768
STRA6	Q9BX79
GPR108	Q9NPR9
PALB2	Q86YC2
TDRD12	Q587J7
GPR107	Q5VW38
GPR101	Q96P66
SPERT	Q8NA61
TDRD15	B5MCY1
RNF10	Q8N5U6
CALCOCO1	Q9P1Z2
RNF11	Q9Y3C5
SFT2D3	Q587I9
RNF13	O43567
CALCOCO2	Q13137
RNF14	Q9UBS8
ADRA1D	P25100
TREM2	Q9NZC2
ADRA1B	P35368
ADRA1A	P35348
TREM1	Q9NP99
RPL7A	P62424
FKBP9P1	Q75LS8
RNF17	Q9BXT8
PDCD6IP	Q8WUM4
MEPE	Q9NQ76
ADRA2C	P18825
RANGAP1	P46060
ADRA2B	P18089
ADRA2A	P08913
COASY	Q13057
EVC	P57679
IL3RA	P26951
EVL	Q9UI08
SPEM1	Q8N4L4
SFT2D2	O95562
SFT2D1	Q8WV19
SSX2IP	Q9Y2D8
RNF31	Q96EP0
SMARCD1	Q96GM5
RNF32	Q9H0A6
SMARCD2	Q92925
SMARCD3	Q6STE5
RNF34	Q969K3
RNF38	Q9H0F5
ITLN1	Q8WWA0
ITLN2	Q8WWU7
MESD	Q14696
PUF60	Q9UHX1
RNF39	Q9H2S5
MEST	Q5EB52
SMARCE1	Q969G3
RNF20	Q5VTR2
RNF24	Q9Y225
RNF25	Q96BH1
RNF26	Q9BY78
PNRC1	Q12796
PNRC2	Q9NPJ4
TRMT61A	Q96FX7
TRMT61B	Q9BVS5
BET1	O15155
EYS	Q5T1H1
AFG3L2	Q9Y4W6
COX7A2L	O14548
AKAP9	Q99996
RELCH	Q9P260
EZR	P15311
ANKRA2	Q9H9E1
BEX4	Q9NWD9
BEX3	Q00994
GPM6A	P51674
C17orf102	A2RUQ5
BEX2	Q9BXY8
BEX1	Q9HBH7
HIST1H3J	P68431
NHLH2	Q02577
GNG10	P50151
HIST1H3A	P68431
NHLH1	Q02575
HIST1H3F	P68431
HIST1H3G	P68431
HIST1H3H	P68431
HIST1H3I	P68431
HIST1H3B	P68431
HIST1H3C	P68431
HIST1H3D	P68431
GPM6B	Q13491
HIST1H3E	P68431
HIST1H4K	P62805
HIST1H4L	P62805
TREX1	Q9NSU2
SLC33A1	O00400
TREX2	Q9BQ50
IGFL2	Q6UWQ7
IGFL3	Q6UXB1
IGFL1	Q6UW32
GNG12	Q9UBI6
GNG11	P61952
GNG13	Q9P2W3
HIST1H4A	P62805
HIST1H4B	P62805
CDAN1	Q8IWY9
HIST1H4G	Q99525
HIST1H4H	P62805
HIST1H4I	P62805
HIST1H4J	P62805
HIST1H4C	P62805
HIST1H4D	P62805
ITM2A	O43736
HIST1H4E	P62805
ITM2B	Q9Y287
RAB40AL	P0C0E4
HIST1H4F	P62805
BEX5	Q5H9J7
ITM2C	Q9NQX7
ACVRL1	P37023
OLA1	Q9NTK5
QRFP	P83859
ANKRD9	Q96BM1
EPM2AIP1	Q7L775
GLIPR1	P48060
GLIPR2	Q9H4G4
ANKRD1	Q15327
TNFAIP8L1	Q8WVP5
GNPNAT1	Q96EK6
TNFAIP8L3	Q5GJ75
DLAT	P10515
TNFAIP8L2	Q6P589
ANKRD2	Q9GZV1
ANKRD7	Q92527
RSPRY1	Q96DX4
ANKRD6	Q9Y2G4
AVPR1B	P47901
STRBP	Q96SI9
AVPR1A	P37288
MSS51	Q4VC12
IGFN1	Q86VF2
PALD1	Q9ULE6
RPUSD4	Q96CM3
MDFIC	Q9P1T7
RPUSD1	Q9UJJ7
RPUSD2	Q8IZ73
FRG2	Q64ET8
FRG1	Q14331
RPUSD3	Q6P087
STRAP	Q9Y3F4
GAGE12G	NP_001468
GAGE12E	A1L429
GAGE12F	NP_001468
GAGE12C	A1L429
GAGE12D	A1L429
GAGE12B	A1L429
AKAP8	O43823
AKAP7	Q9P0M2
AKAP6	Q13023
AKAP5	P24588
AKAP4	Q5JQC9
AKAP3	O75969
AKAP2	Q9Y2D5
AKAP1	Q92667
NCR3LG1	Q68D85
GAGE12I	P0CL82
OLAH	Q9NV23
FAH	P16930
PDZK1IP1	Q13113
FAP	Q12884
PDXDC2P	Q6P474
DLC1	Q96QB1
FAS	P25445
FAU	P62861
SIRPD	Q9H106
SIRPG	Q9P1W8
SDR9C7	Q8NEX9
FBL	P22087
NUSAP1	Q9BXS6
SIRPA	P78324
TBCCD1	Q9NVR7
ANGEL2	Q5VTE6
PAM16	Q9Y3D7
ANGEL1	Q9UNK9
GLTPD2	A6NH11
TBL1XR1	Q9BZK7
RGS9BP	Q6ZS82
ELMO1	Q92556
ELMO2	Q96JJ3
RELL1	Q8IUW5
ELMO3	Q96BJ8
RELL2	Q8NC24
ZC3H18	Q86VM9
ZC3H13	Q5T200
ZC3H14	Q6PJT7
ZC3H15	Q8WU90
TGFB2	P61812
TGFB1	P01137
TGFB3	P10600
BFAR	Q9NZS9
NFKBIA	P25963
DLG1	Q12959
FER	P16591
DLG2	Q15700
DLG3	Q92796
DLG4	P78352
FES	P07332
FEV	Q99581
DLG5	Q8TDM6
TGFBI	Q15582
CLASRP	Q8N2M8
NFKBIE	O00221
GRSF1	Q12849
NFKBID	Q8NI38
NFKBIB	Q15653
HIST1H1T	P22492
DHTKD1	Q96HY7
ZC3H7A	Q8IWR0
ZC3H7B	Q9UGR2
NFKBIZ	Q9BYH8
HIST1H1D	P16402
HIST1H1E	P10412
HIST1H1A	Q02539
HIST1H1B	P16401
HIST1H1C	P16403
FGB	P02675
FGA	P02671
FGG	P02679
FGR	P09769
PALLD	Q8WX93
CHMP3	Q9Y3E7
CHMP6	Q96FZ7
ECT2L	Q008S8
CHMP7	Q8WUX9
CHMP5	Q9NZZ3
RGS18	Q9NS28
RGS17	Q9UGC6
RGS19	P49795
RGS14	O43566
RGS13	O14921
RGS16	O15492
PALM2	Q8IXS6
PALM3	A6NDB9
DLL1	O00548
STRN4	Q9NRL3
STRN3	Q13033
DLL3	Q9NYJ7
DLL4	Q9NR61
PALMD	Q9NP74
RGS21	Q2M5E4
RGS20	O76081
RGS22	Q8NE09
CLASP1	Q7Z460
CLASP2	O75122
DLK1	P80370
DLK2	Q6UY11
RGS10	O43665
RGS12	O14924
RGS11	O94810
NOC2L	Q9Y3T9
FRS2	Q8WU20
LDOC1	O95751
FRS3	O43559
RABL3	Q5HYI8
RABL6	Q3YEC7
FLG	P20930
CDCA2	Q69YH5
CDCA3	Q99618
CDCA4	Q9BXL8
CDCA5	Q96FF9
CDCA7	Q9BWT1
CDCA8	Q53HL2
FUCA1	P04066
FUCA2	Q9BTY2
FN1	P02751
MAGOHB	Q96A72
TPBGL	P0DKB5
CFAP97D1	B2RV13
PANX1	Q96RD7
PANX2	Q96RD6
PIN1P1	O15428
OLR1	P78380
PANX3	Q96QZ0
SPHK2	Q9NRA0
SPHK1	Q9NYA1
FOS	P01100
SLC7A4	O43246
SLC7A5	Q01650
SLC7A6	Q92536
SLC7A7	Q9UM01
SLC7A8	Q9UHI5
SLC7A9	P82251
NUP62CL	Q9H1M0
CACUL1	Q86Y37
ELOF1	P60002
DLST	P36957
NOC4L	Q9BVI4
