P46734	Q9Y6R4
O15264|P53778|Q15759|Q16539	O75582|O75676
O14807|P01111|P01112|P01116|P10301|P62070	P05129|P05771|P17252
O14733	Q13387|Q9UQF2
P18848	P51812|Q15349|Q15418|Q9UK32
P19419	P45983|P45984|P53779
O15264|P53778|Q15759|Q16539	P19419
Q9UHA4	gene
P10398	Q02750
P27361|P28482	P35236|P51452|P54829|Q15256
O15264|P53778|Q15759|Q16539	P35236|P51452|P54829|Q15256
O15264|P53778|Q15759|Q16539	gene
O14733	Q9NYL2
P31749|P31751|Q9Y243	P45985
P45983|P45984|P53779	Q05923|Q13115|Q13202|Q16690|Q16829|Q99956|Q9BY84|Q9Y6W6
P01375	P19438
P45985	gene
P01106	P27361|P28482
P22736	gene
P17535	P45983|P45984|P53779
P36897|P37173	Q9UER7
Q03113|Q9UBI6	Q15283
P36507	gene
P04637	P45983|P45984|P53779
Q9UBE8	gene
O14733	gene
P27361|P28482	P28324
O15264|P53778|Q15759|Q16539	Q8IW41
Q9BQ95	gene
Q13153|Q13177	Q99759|Q9Y2U5
