#node1	node2	edge_expansion:relation_type
O00418	P13639	one_to_one_mapping:inhibition
O43741	Q92574	mult_mapping_expansion:activation|phosphorylation
O43741	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
O43741	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
O43889	Q53ET0	mult_mapping_expansion:binding/association
P01308	P06213	one_to_one_mapping:activation
P05019	P08069	one_to_one_mapping:activation
P16220	Q53ET0	mult_mapping_expansion:binding/association
P31749	P49815	mult_mapping_expansion:inhibition
P31749	Q92574	mult_mapping_expansion:inhibition
P31751	P49815	mult_mapping_expansion:inhibition
P31751	Q92574	mult_mapping_expansion:inhibition
P35348	O43741	mult_mapping_expansion:activation|indirect effect
P35348	P54619	mult_mapping_expansion:activation|indirect effect
P35348	P54646	mult_mapping_expansion:activation|indirect effect
P35348	Q13131	mult_mapping_expansion:activation|indirect effect
P35348	Q9UGI9	mult_mapping_expansion:activation|indirect effect
P35348	Q9UGJ0	mult_mapping_expansion:activation|indirect effect
P35348	Q9Y478	mult_mapping_expansion:activation|indirect effect
P35568	O00329	mult_mapping_expansion:activation
P35568	O00459	mult_mapping_expansion:activation
P35568	P27986	mult_mapping_expansion:activation
P35568	P42336	mult_mapping_expansion:activation
P35568	P42338	mult_mapping_expansion:activation
P35568	Q92569	mult_mapping_expansion:activation
P41159	P48357	one_to_one_mapping:activation
P42345	O75385	mult_mapping_expansion:inhibition
P42345	P23443	mult_mapping_expansion:activation
P42345	P37231	mult_mapping_expansion:activation
P42345	Q13541	mult_mapping_expansion:inhibition
P42345	Q9UBS0	mult_mapping_expansion:activation
P49815	Q15382	mult_mapping_expansion:inhibition
P49815	Q92574	group_expansion
P54619	O00763	mult_mapping_expansion:inhibition|phosphorylation
P54619	O60825	mult_mapping_expansion:activation|phosphorylation
P54619	O95822	mult_mapping_expansion:activation|phosphorylation
P54619	P04035	mult_mapping_expansion:inhibition|phosphorylation
P54619	P13569	mult_mapping_expansion:inhibition|phosphorylation
P54619	P13807	mult_mapping_expansion:inhibition|phosphorylation
P54619	P16118	mult_mapping_expansion:activation|phosphorylation
P54619	P16671	mult_mapping_expansion:activation|indirect effect
P54619	P36956	mult_mapping_expansion:indirect effect|inhibition
P54619	P42345	mult_mapping_expansion:inhibition|phosphorylation
P54619	P49815	mult_mapping_expansion:activation|phosphorylation
P54619	P54840	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q05469	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q13085	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q15717	mult_mapping_expansion:inhibition
P54619	Q16875	mult_mapping_expansion:activation|phosphorylation
P54619	Q16877	mult_mapping_expansion:activation|phosphorylation
P54619	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q92574	mult_mapping_expansion:activation|phosphorylation
P54619	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
P54619	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
P54646	O00763	mult_mapping_expansion:inhibition|phosphorylation
P54646	O60825	mult_mapping_expansion:activation|phosphorylation
P54646	O95822	mult_mapping_expansion:activation|phosphorylation
P54646	P04035	mult_mapping_expansion:inhibition|phosphorylation
P54646	P13569	mult_mapping_expansion:inhibition|phosphorylation
P54646	P13807	mult_mapping_expansion:inhibition|phosphorylation
P54646	P16118	mult_mapping_expansion:activation|phosphorylation
P54646	P16671	mult_mapping_expansion:activation|indirect effect
P54646	P36956	mult_mapping_expansion:indirect effect|inhibition
P54646	P42345	mult_mapping_expansion:inhibition|phosphorylation
P54646	P49815	mult_mapping_expansion:activation|phosphorylation
P54646	P54840	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q05469	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q13085	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q15717	mult_mapping_expansion:inhibition
P54646	Q16875	mult_mapping_expansion:activation|phosphorylation
P54646	Q16877	mult_mapping_expansion:activation|phosphorylation
P54646	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q92574	mult_mapping_expansion:activation|phosphorylation
P54646	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
P54646	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
P61006	P14672	mult_mapping_expansion:activation
P61019	P14672	mult_mapping_expansion:activation
P61026	P14672	mult_mapping_expansion:activation
P61106	P14672	mult_mapping_expansion:activation
Q02930	Q53ET0	mult_mapping_expansion:binding/association
Q13131	O00763	mult_mapping_expansion:inhibition|phosphorylation
Q13131	O60825	mult_mapping_expansion:activation|phosphorylation
Q13131	O95822	mult_mapping_expansion:activation|phosphorylation
Q13131	P04035	mult_mapping_expansion:inhibition|phosphorylation
Q13131	P13569	mult_mapping_expansion:inhibition|phosphorylation
Q13131	P13807	mult_mapping_expansion:inhibition|phosphorylation
Q13131	P16118	mult_mapping_expansion:activation|phosphorylation
Q13131	P16671	mult_mapping_expansion:activation|indirect effect
Q13131	P36956	mult_mapping_expansion:indirect effect|inhibition
Q13131	P42345	mult_mapping_expansion:inhibition|phosphorylation
Q13131	P49815	mult_mapping_expansion:activation|phosphorylation
Q13131	P54840	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q05469	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q13085	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q15717	mult_mapping_expansion:inhibition
Q13131	Q16875	mult_mapping_expansion:activation|phosphorylation
Q13131	Q16877	mult_mapping_expansion:activation|phosphorylation
Q13131	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q92574	mult_mapping_expansion:activation|phosphorylation
Q13131	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
Q13131	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
Q15382	P42345	mult_mapping_expansion:activation
Q15382	Q8N122	mult_mapping_expansion:activation
Q15382	Q96B36	mult_mapping_expansion:activation
Q15717	P24385	one_to_one_mapping:activation
Q15831	O43741	mult_mapping_expansion:activation|phosphorylation
Q15831	P54619	mult_mapping_expansion:activation|phosphorylation
Q15831	P54646	mult_mapping_expansion:activation|phosphorylation
Q15831	Q13131	mult_mapping_expansion:activation|phosphorylation
Q15831	Q9UGI9	mult_mapping_expansion:activation|phosphorylation
Q15831	Q9UGJ0	mult_mapping_expansion:activation|phosphorylation
Q15831	Q9Y478	mult_mapping_expansion:activation|phosphorylation
Q15848	Q86V24	mult_mapping_expansion:activation
Q15848	Q96A54	mult_mapping_expansion:activation
Q15907	P14672	mult_mapping_expansion:activation
Q53ET0	O43889	mult_mapping_expansion:binding/association
Q53ET0	P16220	mult_mapping_expansion:binding/association
Q53ET0	Q02930	mult_mapping_expansion:binding/association
Q53ET0	Q68CJ9	mult_mapping_expansion:binding/association
Q53ET0	Q70SY1	mult_mapping_expansion:binding/association
Q53ET0	Q8TEY5	mult_mapping_expansion:binding/association
Q53ET0	Q96BA8	mult_mapping_expansion:binding/association
Q68CJ9	Q53ET0	mult_mapping_expansion:binding/association
Q70SY1	Q53ET0	mult_mapping_expansion:binding/association
Q86TI0	P61006	mult_mapping_expansion:inhibition
Q86TI0	P61019	mult_mapping_expansion:inhibition
Q86TI0	P61026	mult_mapping_expansion:inhibition
Q86TI0	P61106	mult_mapping_expansion:inhibition
Q86TI0	Q15907	mult_mapping_expansion:inhibition
Q8N122	O75385	mult_mapping_expansion:inhibition
Q8N122	P23443	mult_mapping_expansion:activation
Q8N122	P37231	mult_mapping_expansion:activation
Q8N122	Q13541	mult_mapping_expansion:inhibition
Q8N122	Q9UBS0	mult_mapping_expansion:activation
Q8TEY5	Q53ET0	mult_mapping_expansion:binding/association
Q92574	P49815	group_expansion
Q92574	Q15382	mult_mapping_expansion:inhibition
Q96B36	O75385	mult_mapping_expansion:inhibition
Q96B36	P23443	mult_mapping_expansion:activation
Q96B36	P37231	mult_mapping_expansion:activation
Q96B36	Q13541	mult_mapping_expansion:inhibition
Q96B36	Q9UBS0	mult_mapping_expansion:activation
Q96BA8	Q53ET0	mult_mapping_expansion:binding/association
Q96RR4	O43741	mult_mapping_expansion:activation|phosphorylation
Q96RR4	P54619	mult_mapping_expansion:activation|phosphorylation
Q96RR4	P54646	mult_mapping_expansion:activation|phosphorylation
Q96RR4	Q13131	mult_mapping_expansion:activation|phosphorylation
Q96RR4	Q9UGI9	mult_mapping_expansion:activation|phosphorylation
Q96RR4	Q9UGJ0	mult_mapping_expansion:activation|phosphorylation
Q96RR4	Q9Y478	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	O00763	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	O60825	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	O95822	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	P04035	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	P13569	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	P13807	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	P16118	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	P16671	mult_mapping_expansion:activation|indirect effect
Q9UGI9	P36956	mult_mapping_expansion:indirect effect|inhibition
Q9UGI9	P42345	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	P49815	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	P54840	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q05469	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q13085	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q15717	mult_mapping_expansion:inhibition
Q9UGI9	Q16875	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	Q16877	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q92574	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
Q9UGI9	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	O00763	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	O60825	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	O95822	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	P04035	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	P13569	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	P13807	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	P16118	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	P16671	mult_mapping_expansion:activation|indirect effect
Q9UGJ0	P36956	mult_mapping_expansion:indirect effect|inhibition
Q9UGJ0	P42345	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	P49815	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	P54840	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q05469	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q13085	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q15717	mult_mapping_expansion:inhibition
Q9UGJ0	Q16875	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	Q16877	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q92574	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
Q9UGJ0	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
Q9Y243	P49815	mult_mapping_expansion:inhibition
Q9Y243	Q92574	mult_mapping_expansion:inhibition
Q9Y478	O00763	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	O60825	mult_mapping_expansion:activation|phosphorylation
Q9Y478	O95822	mult_mapping_expansion:activation|phosphorylation
Q9Y478	P04035	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	P13569	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	P13807	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	P16118	mult_mapping_expansion:activation|phosphorylation
Q9Y478	P16671	mult_mapping_expansion:activation|indirect effect
Q9Y478	P36956	mult_mapping_expansion:indirect effect|inhibition
Q9Y478	P42345	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	P49815	mult_mapping_expansion:activation|phosphorylation
Q9Y478	P54840	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q05469	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q13085	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q15717	mult_mapping_expansion:inhibition
Q9Y478	Q16875	mult_mapping_expansion:activation|phosphorylation
Q9Y478	Q16877	mult_mapping_expansion:activation|phosphorylation
Q9Y478	Q53ET0	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q86TI0	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q8N122	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q92574	mult_mapping_expansion:activation|phosphorylation
Q9Y478	Q96B36	mult_mapping_expansion:inhibition|phosphorylation
Q9Y478	Q9UBK2	mult_mapping_expansion:activation|phosphorylation
Q9Y4H2	O00329	mult_mapping_expansion:activation
Q9Y4H2	O00459	mult_mapping_expansion:activation
Q9Y4H2	P27986	mult_mapping_expansion:activation
Q9Y4H2	P42336	mult_mapping_expansion:activation
Q9Y4H2	P42338	mult_mapping_expansion:activation
Q9Y4H2	Q92569	mult_mapping_expansion:activation
