#node1	node2	edge_expansion:relation_type
O00206	Q8IUC6	one_to_one_mapping:activation|indirect effect
P53778	P05412	mult_mapping_expansion:activation
P53778	P30153	mult_mapping_expansion:activation|indirect effect
P53778	P30154	mult_mapping_expansion:activation|indirect effect
P53778	P62714	mult_mapping_expansion:activation|indirect effect
P53778	P63151	mult_mapping_expansion:activation|indirect effect
P53778	P67775	mult_mapping_expansion:activation|indirect effect
P53778	Q00005	mult_mapping_expansion:activation|indirect effect
P53778	Q66LE6	mult_mapping_expansion:activation|indirect effect
P53778	Q9Y2T4	mult_mapping_expansion:activation|indirect effect
P53779	P01100	mult_mapping_expansion:activation|phosphorylation
P53779	P05412	mult_mapping_expansion:activation|phosphorylation
P62714	P51617	mult_mapping_expansion:dephosphorylation|inhibition
P62714	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
P63092	Q08828	mult_mapping_expansion:activation|indirect effect
P63096	Q00722	mult_mapping_expansion:activation|indirect effect
P63096	Q01970	mult_mapping_expansion:activation|indirect effect
P63096	Q15147	mult_mapping_expansion:activation|indirect effect
P63096	Q9NQ66	mult_mapping_expansion:activation|indirect effect
P63151	P51617	mult_mapping_expansion:dephosphorylation|inhibition
P63151	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
P67775	P51617	mult_mapping_expansion:dephosphorylation|inhibition
P67775	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
Q00005	P51617	mult_mapping_expansion:dephosphorylation|inhibition
Q00005	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
Q04206	P25963	mult_mapping_expansion:dissociation
Q04206	P30153	mult_mapping_expansion:activation
Q04206	P30154	mult_mapping_expansion:activation
Q04206	P62714	mult_mapping_expansion:activation
Q04206	P63151	mult_mapping_expansion:activation
Q04206	P67775	mult_mapping_expansion:activation
Q04206	Q00005	mult_mapping_expansion:activation
Q04206	Q66LE6	mult_mapping_expansion:activation
Q04206	Q9Y2T4	mult_mapping_expansion:activation
Q13158	Q14790	one_to_one_mapping:activation
Q15759	P01100	mult_mapping_expansion:activation
Q15759	P05412	mult_mapping_expansion:activation
Q15759	P30153	mult_mapping_expansion:activation|indirect effect
Q15759	P30154	mult_mapping_expansion:activation|indirect effect
Q15759	P62714	mult_mapping_expansion:activation|indirect effect
Q15759	P63151	mult_mapping_expansion:activation|indirect effect
Q15759	P67775	mult_mapping_expansion:activation|indirect effect
Q15759	Q00005	mult_mapping_expansion:activation|indirect effect
Q15759	Q66LE6	mult_mapping_expansion:activation|indirect effect
Q15759	Q9Y2T4	mult_mapping_expansion:activation|indirect effect
Q16539	P01100	mult_mapping_expansion:activation
Q16539	P05412	mult_mapping_expansion:activation
Q16539	P30153	mult_mapping_expansion:activation|indirect effect
Q16539	P30154	mult_mapping_expansion:activation|indirect effect
Q16539	P62714	mult_mapping_expansion:activation|indirect effect
Q16539	P63151	mult_mapping_expansion:activation|indirect effect
Q16539	P67775	mult_mapping_expansion:activation|indirect effect
Q16539	Q00005	mult_mapping_expansion:activation|indirect effect
Q16539	Q66LE6	mult_mapping_expansion:activation|indirect effect
Q16539	Q9Y2T4	mult_mapping_expansion:activation|indirect effect
Q66LE6	P51617	mult_mapping_expansion:dephosphorylation|inhibition
Q66LE6	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
Q92569	P31749	mult_mapping_expansion:activation|compound
Q92569	P31751	mult_mapping_expansion:activation|compound
Q92569	Q9Y243	mult_mapping_expansion:activation|compound
Q9NR96	Q99836	one_to_one_mapping:activation
Q9NWZ3	Q9Y4K3	mult_mapping_expansion:activation
Q9Y2C9	O60603	group_expansion
Q9Y2C9	Q99836	mult_mapping_expansion:activation
Q9Y2T4	P51617	mult_mapping_expansion:dephosphorylation|inhibition
Q9Y2T4	Q9NWZ3	mult_mapping_expansion:dephosphorylation|inhibition
Q9Y4K3	P45985	one_to_one_mapping:activation|indirect effect
Q9Y6K9	P25963	mult_mapping_expansion:activation|phosphorylation
